ICD10_Code,ICD10_Description,ICHD3_Code,ICHD3_Description,Diagnostic_Criteria_Summary,Frequency_Threshold,Duration_Threshold,Billable,PA_Relevance,Medications_Applicable,LCD_Coverage_Notes,Common_Denial_Risks
G43.821,"Menstrual migraine, not intractable, with status migrainosus",A1.1.1/A1.1.2,Pure menstrual or menstrually-related migraine,Migraine occurring exclusively or predominantly on days -2 to +3 of menstruation in ≥2/3 cycles,Cyclical (perimenstrual),4-72 hours,Yes,Hormonal and standard migraine therapies,"Triptans, Gepants, Continuous OCP, Frovatriptan prophylaxis",Menstrual pattern supports specific prophylactic strategies.,Document cycle correlation
G43.829,"Menstrual migraine, not intractable, without status migrainosus",A1.1.1/A1.1.2,Pure menstrual or menstrually-related migraine,Migraine occurring predominantly perimenstrually,Cyclical (perimenstrual),4-72 hours,Yes,Hormonal and standard migraine therapies,"Triptans, Gepants, Mini-prophylaxis",Common code for hormonally-associated migraine.,Track with menstrual diary
G43.831,"Menstrual migraine, intractable, with status migrainosus",A1.1.1/A1.1.2,Menstrual migraine (treatment-resistant),Menstrual migraine >72 hours or failing treatment,Cyclical,>72 hours,Yes,Escalated therapies,"CGRP mAbs, Gepants, Hormonal manipulation",Refractory menstrual migraine may benefit from continuous CGRP suppression.,Document failed hormonal approaches
G43.839,"Menstrual migraine, intractable, without status migrainosus",A1.1.1/A1.1.2,Menstrual migraine (treatment-resistant),Menstrual migraine failing multiple treatments,Cyclical,4-72 hours,Yes,Escalated therapies,"CGRP mAbs, Gepants",Supports CGRP therapy for hormonally-triggered migraine.,Document treatment failures
G43.901,"Migraine, unspecified, not intractable, with status migrainosus",Unspecified,Migraine unspecified,Migraine diagnosis without further specification,Unknown,Unknown,Yes,Limited - requires clarification,Standard therapies pending clarification,AVOID THIS CODE WHEN POSSIBLE. Non-specific codes trigger audit flags.,Will likely require additional documentation
G43.909,"Migraine, unspecified, not intractable, without status migrainosus",Unspecified,Migraine unspecified,Migraine diagnosis without further specification,Unknown,Unknown,Yes,Limited - requires clarification,Standard therapies pending clarification,COMMONLY DENIED CODE. Too vague for specialty medications.,Use more specific code whenever possible
G43.911,"Migraine, unspecified, intractable, with status migrainosus",Unspecified,Migraine unspecified (treatment-resistant),Unspecified migraine failing treatment,Unknown,>72 hours,Yes,Limited - requires clarification,Standard therapies pending clarification,Non-specific but 'intractable' indicates severity.,Document symptoms to support more specific coding
G43.919,"Migraine, unspecified, intractable, without status migrainosus",Unspecified,Migraine unspecified (treatment-resistant),Unspecified migraine failing treatment,Unknown,Unknown,Yes,Limited - requires clarification,Standard therapies pending clarification,Better to use specific chronic/episodic code.,Review records for more specific diagnosis
G44.41,Drug-induced headache not elsewhere classified,8.2,Medication-overuse headache (MOH),Headache ≥15 days/month developing from regular overuse of acute headache medication >3 months; simple analgesics ≥15 days; triptans/ergots/opioids/combinations ≥10 days,≥15 days/month,Varies,Yes,CGRP therapies (lower MOH risk),"CGRP mAbs, Gepants (for prevention), Detoxification protocol",MOH diagnosis SUPPORTS gepant/CGRP access - these agents have lower MOH risk per AHS 2021.,Document acute medication frequency to establish MOH
G44.52,New daily persistent headache,4.10,New daily persistent headache (NDPH),Daily headache from onset (<24 hours from first occurrence); clearly remembered onset date; continuous from start,Daily from onset,Unremitting,Yes,Complex preventive approaches,"CGRP mAbs, Oral preventives, Combination therapy",NDPH is distinct from chronic migraine. May require different treatment approach.,Document exact onset date
R51.0,Headache with orthostatic component,N/A,Orthostatic headache,Headache provoked by upright posture,Positional,Positional,Yes,Limited PA relevance,Varies by underlying cause,NOT a migraine code. Consider CSF leak workup.,Wrong code for migraine PA submissions
R51.9,"Headache, unspecified",N/A,Headache unspecified,Headache without further specification,Unknown,Unknown,Yes,AVOID - automatic denial for specialty drugs,None approved,"DO NOT USE FOR MIGRAINE PA. Will result in automatic denial for Botox, CGRPs, gepants.",Never use as primary diagnosis for migraine therapies
G44.001,"Cluster headache syndrome, unspecified, intractable",3.1,Cluster headache (unspecified type),"Severe unilateral orbital/supraorbital/temporal pain 15-180 minutes; ipsilateral autonomic features (lacrimation, rhinorrhea, ptosis, miosis, eyelid edema, conjunctival injection); restlessness; frequency 1 every other day to 8 per day",Variable - episodic or chronic,15-180 minutes per attack,Yes,Cluster headache prevention - Emgality 300mg only CGRP,"Galcanezumab (Emgality) 300mg, Verapamil, Lithium, SC Sumatriptan, High-flow O2",Emgality FDA-approved for EPISODIC cluster only (G44.019). Use specific episodic/chronic code when known.,Using migraine codes (G43.xxx) for cluster headache = automatic denial; chronic cluster (G44.021/029) not FDA-covered for Emgality
G44.009,"Cluster headache syndrome, unspecified, not intractable",3.1,Cluster headache (unspecified type),Severe unilateral orbital/supraorbital/temporal pain 15-180 minutes; ipsilateral autonomic features; restlessness; frequency 1 every other day to 8 per day,Variable - episodic or chronic,15-180 minutes per attack,Yes,Cluster headache prevention - Emgality 300mg only CGRP,"Galcanezumab (Emgality) 300mg, Verapamil, Lithium, SC Sumatriptan, High-flow O2",Emgality FDA-approved for EPISODIC cluster only. Use specific episodic/chronic code when known.,Non-specific code; use G44.019 (episodic) for Emgality PA when possible
G44.011,"Episodic cluster headache, intractable",3.1.1,Episodic cluster headache,"Cluster headache attacks occurring in periods (cluster bouts) lasting 7 days to 1 year, separated by pain-free remission periods ≥3 months; ≥5 attacks meeting cluster criteria",Cluster periods 7 days to 1 year; remissions ≥3 months,15-180 minutes per attack,Yes,CRITICAL: FDA-approved indication for Emgality (galcanezumab) 300mg,"Galcanezumab (Emgality) 300mg - FDA APPROVED; Verapamil, Lithium, SC Sumatriptan, High-flow O2",⭐ PRIMARY CODE FOR EMGALITY CLUSTER HEADACHE COVERAGE. FDA approved June 2019. Use this code for Emgality PA.,Must document episodic pattern (remissions ≥3 months) to distinguish from chronic cluster
G44.019,"Episodic cluster headache, not intractable",3.1.1,Episodic cluster headache,"Cluster headache attacks occurring in periods lasting 7 days to 1 year, separated by pain-free remission periods ≥3 months; ≥5 attacks meeting cluster criteria",Cluster periods 7 days to 1 year; remissions ≥3 months,15-180 minutes per attack,Yes,CRITICAL: FDA-approved indication for Emgality (galcanezumab) 300mg,"Galcanezumab (Emgality) 300mg - FDA APPROVED; Verapamil, Lithium, SC Sumatriptan, High-flow O2",⭐ MOST COMMON CODE FOR EMGALITY CLUSTER HEADACHE COVERAGE. FDA approved June 2019.,Must clearly document episodic pattern; chronic cluster (G44.02x) NOT covered for Emgality
G44.021,"Chronic cluster headache, intractable",3.1.2,Chronic cluster headache,"Cluster headache attacks occurring for ≥1 year without remission, or with remission periods <3 months",Attacks for ≥1 year; remissions <3 months if any,15-180 minutes per attack,Yes,⚠️ WARNING: Emgality NOT FDA-approved for chronic cluster headache,"Verapamil, Lithium, Topiramate; Emgality OFF-LABEL ONLY (Phase 3 trial failed)",⛔ EMGALITY NOT FDA-APPROVED FOR CHRONIC CLUSTER. Phase 3 trial (2020) did not meet primary endpoint. EMA rejected. Off-label use only.,Emgality PA will be denied for chronic cluster headache; must use episodic codes (G44.01x) for Emgality coverage
G44.029,"Chronic cluster headache, not intractable",3.1.2,Chronic cluster headache,"Cluster headache attacks occurring for ≥1 year without remission, or with remission periods <3 months",Attacks for ≥1 year; remissions <3 months if any,15-180 minutes per attack,Yes,⚠️ WARNING: Emgality NOT FDA-approved for chronic cluster headache,"Verapamil, Lithium, Topiramate; Emgality OFF-LABEL ONLY",⛔ EMGALITY NOT FDA-APPROVED FOR CHRONIC CLUSTER. Off-label use requires extensive justification.,Automatic Emgality denial expected; document as refractory chronic cluster if attempting off-label appeal
G44.031,"Episodic paroxysmal hemicrania, intractable",3.2.1,Episodic paroxysmal hemicrania,Severe unilateral pain in orbital/supraorbital/temporal region; 2-30 minutes duration; >5 attacks per day; absolute response to indomethacin,>5 attacks per day during cluster periods,2-30 minutes per attack,Yes,Trigeminal autonomic cephalalgia - NOT covered by Emgality indication,Indomethacin (DIAGNOSTIC - absolute response required); NOT Emgality,Paroxysmal hemicrania is distinct from cluster headache. Indomethacin response is diagnostic criterion.,Emgality NOT indicated; indomethacin is first-line and diagnostic
G44.039,"Episodic paroxysmal hemicrania, not intractable",3.2.1,Episodic paroxysmal hemicrania,Severe unilateral pain; 2-30 minutes; >5 attacks/day; absolute indomethacin response,>5 attacks per day,2-30 minutes per attack,Yes,Trigeminal autonomic cephalalgia - indomethacin responsive,Indomethacin (DIAGNOSTIC); NOT Emgality,Indomethacin response distinguishes PH from cluster headache.,Using wrong diagnosis code; Emgality not indicated
