Medication_Name,Generic_Name,Brand_Names,Drug_Class,MOH_Category,MOH_Threshold_Days_Per_Month,Active_Ingredients,Common_Doses,Max_Daily_Dose,Caffeine_Content_mg,Diary_Category,ICHD3_MOH_Reference,PA_Relevance,RxNorm_ID,Notes
Caffeine,caffeine,"NoDoz, Vivarin, Caffeine pills",Stimulant/Adjuvant,Combination analgesic,10,Caffeine,"100mg, 200mg",400mg,100-200 per tablet,Caffeine,8.2.3,"Caffeine alone counts toward combination threshold when used for headache; withdrawal triggers MOH",1886,Often used as migraine adjuvant; withdrawal headache common
Advil Migraine,ibuprofen (solubilized),Advil Migraine,NSAID (liquid gel),Simple analgesic,15,Ibuprofen 200mg (solubilized),2 capsules,6 capsules (1200mg),0,OTC Migraine,8.2.1,"FDA-approved for migraine; faster absorption than tablets; still simple analgesic threshold",310965,Solubilized = faster onset; same MOH threshold as regular ibuprofen
Motrin Migraine Pain,ibuprofen,Motrin Migraine Pain,NSAID,Simple analgesic,15,Ibuprofen 200mg,2 tablets,6 tablets (1200mg),0,OTC Migraine,8.2.1,"Identical to regular ibuprofen; marketing differentiation only",310964,Same as regular Motrin; FDA migraine indication
Advil Dual Action,acetaminophen/ibuprofen,Advil Dual Action,Combination Analgesic,Simple analgesic,15,"Acetaminophen 250mg, Ibuprofen 125mg",2 caplets,8 caplets,0,OTC Pain Reliever,8.2.1,"No caffeine = simple analgesic threshold; dual MOA",2551858,Newer combination; no caffeine so 15-day threshold applies
Midol Complete,acetaminophen/caffeine/pyrilamine,Midol Complete,Combination Analgesic,Combination analgesic,10,"Acetaminophen 500mg, Caffeine 60mg, Pyrilamine 15mg",2 caplets,6 caplets,60 per caplet,OTC Pain Reliever,8.2.3,"Contains caffeine = 10-day threshold; antihistamine adds sedation",211485,Marketed for menstrual but used for headache; caffeine = lower MOH threshold
Pamprin Max,acetaminophen/aspirin/caffeine,Pamprin Max Pain + Energy,Combination Analgesic,Combination analgesic,10,"Acetaminophen 250mg, Aspirin 250mg, Caffeine 65mg",2 caplets,8 caplets,65 per caplet,OTC Pain Reliever,8.2.3,"Essentially Excedrin equivalent; marketed for menstrual pain",217320,Same formulation as Excedrin
Alka-Seltzer Original,aspirin/citric acid/sodium bicarbonate,Alka-Seltzer,Effervescent Analgesic,Simple analgesic,15,"Aspirin 324mg, Citric acid 1000mg, Sodium bicarbonate 1916mg",2 tablets in water,8 tablets,0,OTC Pain Reliever,8.2.1,"Effervescent = faster absorption; high sodium content",205352,High sodium - caution in HTN; no caffeine = 15-day threshold
Aleve PM,naproxen/diphenhydramine,"Aleve PM, Aleve-D",NSAID + Sleep Aid,Simple analgesic,15,"Naproxen sodium 220mg, Diphenhydramine 25mg",2 caplets,2 caplets (nighttime only),0,OTC Sleep/Pain,8.2.1,"Naproxen component counts for MOH tracking; diphenhydramine for sleep",904436,Nighttime formulation; track naproxen days
Advil PM,ibuprofen/diphenhydramine,Advil PM,NSAID + Sleep Aid,Simple analgesic,15,"Ibuprofen 200mg, Diphenhydramine 38mg",2 caplets,2 caplets (nighttime only),0,OTC Sleep/Pain,8.2.1,"Ibuprofen component counts for MOH tracking",731533,Nighttime formulation
Tylenol PM,acetaminophen/diphenhydramine,Tylenol PM,Analgesic + Sleep Aid,Simple analgesic,15,"Acetaminophen 500mg, Diphenhydramine 25mg",2 caplets,2 caplets (nighttime only),0,OTC Sleep/Pain,8.2.1,"Acetaminophen component counts for MOH tracking",831089,Nighttime formulation
Benadryl,diphenhydramine,Benadryl,Antihistamine,Not applicable,N/A,Diphenhydramine 25mg,1-2 tablets,300mg,0,OTC Antihistamine,N/A,"Not a headache treatment but sometimes used; does not count toward MOH",6725,May be used for migraine-associated nausea; sedating
Dramamine,dimenhydrinate,Dramamine,Antihistamine/Antiemetic,Not applicable,N/A,Dimenhydrinate 50mg,1-2 tablets,400mg,0,OTC Antiemetic,N/A,"Used for migraine-associated nausea/vertigo; does not count toward analgesic MOH",3267,Contains diphenhydramine derivative
Pepto-Bismol,bismuth subsalicylate,Pepto-Bismol,Antidiarrheal/Antacid,Not applicable,N/A,Bismuth subsalicylate 262mg,2 tablets,8 doses,0,OTC GI,N/A,"Salicylate component minimal for headache; used for GI symptoms",1426,Not typically used for headache pain
Magnesium,magnesium (various salts),"Mag-Ox, Nature Made, Slow-Mag",Mineral Supplement,Not applicable,N/A,"Magnesium oxide, citrate, glycinate","250mg, 400mg, 500mg",350mg elemental (UL),0,Supplement,N/A,"Evidence-based migraine preventive (Level B); 400-600mg daily; does NOT cause MOH",30125,Preventive not acute; diarrhea with oxide form
Riboflavin (B2),riboflavin,Various brands,Vitamin Supplement,Not applicable,N/A,Riboflavin,"100mg, 400mg",No UL established,0,Supplement,N/A,"Evidence-based migraine preventive (Level B); 400mg daily; does NOT cause MOH",6711,Preventive; causes fluorescent urine (harmless)
CoQ10,coenzyme Q10,Various brands,Supplement,Not applicable,N/A,Coenzyme Q10,"100mg, 200mg, 300mg",No UL established,0,Supplement,N/A,"Evidence-based migraine preventive (Level C); 100-300mg daily; does NOT cause MOH",49803,Preventive; may take 3 months for effect
Feverfew,feverfew extract,Various brands,Herbal Supplement,Not applicable,N/A,Tanacetum parthenium extract,"50mg, 100mg",No UL established,0,Supplement,N/A,"Mixed evidence for migraine prevention; does NOT cause MOH",23888,Herbal; inconsistent standardization
Butterbur,butterbur extract,Petadolex (discontinued US),Herbal Supplement,Not applicable,N/A,Petasites hybridus extract,"50mg, 75mg",150mg,0,Supplement,N/A,"⚠️ WITHDRAWN from US market (hepatotoxicity); Level A evidence but safety concerns",69108,No longer available in US; was effective but unsafe
