Vault_Denial_Code,Denial_Reason,Winning_Clinical_Phrases_Universal,Source_Authority,Evidence_Citation,Clinical_Scenario,Bypass_Mechanism,Medications_Applicable,Usage_Notes,Statutory_Blurbs_State_Specific,State
DENY-EPISODIC-001,Episodic Migraine Diagnosis Statement,"Patient has been diagnosed with episodic migraine per ICHD-3 criteria (Section 1.1/1.2): at least 5 attacks with headache lasting 4-72 hours; at least 2 of unilateral location, pulsating quality, moderate-severe intensity, or aggravation by physical activity; with nausea/vomiting or photophobia and phonophobia. Patient experiences [X] migraine days per month, which is below the chronic migraine threshold (≥15 days/month) but causes substantial functional impairment warranting preventive therapy.",ICHD-3 (2018) | AHS Consensus 2021,"ICHD-3 Section 1.1, 1.2 | Ailani J et al. Headache. 2021;61(7):1021-1039",PA request for episodic migraine patient (4-14 days/month); establishing diagnosis for CGRP mAb or gepant preventive therapy,Episodic Migraine Diagnosis Documentation,"Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Eptinezumab (Vyepti), Atogepant (Qulipta), Rimegepant (Nurtec ODT preventive)","Use instead of chronic migraine language when patient has 4-14 migraine days/month. Fill in [X] with actual monthly migraine days from headache diary. ICD-10: G43.009, G43.019, G43.109, G43.119. Do NOT use G43.7xx (chronic) codes.",,ALL
DENY-EPISODIC-002,High-Frequency Episodic Migraine - Preventive Indication,"Patient has high-frequency episodic migraine per ICHD-3, experiencing [8-14] migraine days per month. Per AHS 2024 Consensus Statement and ACP 2025 Guidelines, patients with ≥4 migraine days per month who experience functional impairment are candidates for preventive therapy. High-frequency episodic migraine (8-14 days/month) carries significant risk of progression to chronic migraine if undertreated. Early initiation of CGRP-targeting preventive therapy is medically necessary to reduce attack frequency, prevent chronification, and restore functional capacity.",AHS Position Statement 2024 | ACP Guidelines 2025 | ICHD-3,Charles AC et al. Headache. 2024;64(4):333-341 | ACP Ann Intern Med. 2025;178:369-380,PA request for high-frequency episodic patient (8-14 days/month) where payer may argue patient does not meet chronic threshold,High-Frequency Episodic Preventive Indication,"Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Atogepant (Qulipta)","Use when payer questions medical necessity for episodic patients approaching chronic threshold. Document: (1) Monthly migraine days from diary, (2) MIDAS ≥11 or HIT-6 ≥50, (3) Risk of chronification. Complements DENY-QL-001 for quantity limit scenarios.",,ALL
DENY-EPISODIC-003,Episodic Migraine - Acute Gepant After Triptan Failure,"Patient has episodic migraine with documented inadequate response to acute triptan therapy. Patient has trialed [triptan 1] and [triptan 2] with [inadequate pain relief within 2 hours / recurrence requiring re-dosing / intolerable adverse effects]. Per AHS 2018 Position Statement and ACP 2025 Guidelines, CGRP receptor antagonists (gepants) represent an appropriate next-line acute therapy for patients who have failed or cannot tolerate triptans. Unlike triptans, gepants do not cause vasoconstriction and do not carry the same medication overuse headache risk profile.",AHS Position Statement 2018 | ACP Guidelines 2025,American Headache Society. Headache. 2019;59(1):1-18 | ACP Ann Intern Med. 2025;178:369-380,PA request for acute gepant (Ubrelvy/Nurtec/Zavzpret) for episodic patient after triptan failures,Acute Gepant Access After Triptan Step Therapy Completion,"Ubrogepant (Ubrelvy), Rimegepant (Nurtec ODT acute), Zavegepant (Zavzpret)","Document specific triptans failed and reason for failure. This phrase is for ACUTE gepant use (PRN dosing), not preventive. Complements DENY-STEP-001 which focuses on CV bypass for patients who cannot try triptans. ICD-10: G43.009, G43.019, G43.109, G43.119.",,ALL
DENY-FIRST-001,First-Line CGRP Therapy Without Step Therapy,"The CGRP-targeting migraine therapies are a first-line option for migraine prevention. Initiation of these therapies should not require trial and failure of non-specific migraine preventive medication approaches. CGRP is established as a fundamental mechanism of migraine, making CGRP-targeting therapies 'migraine-specific' in contrast to all other established therapies developed for other indications (hypertension, depression, epilepsy). The cumulative evidence for efficacy, safety, and tolerability of CGRP-targeting therapies is significantly greater than that for any established migraine preventive therapy.",AHS Position Statement 2024,Charles AC et al. Headache. 2024;64(4):333-341. doi:10.1111/head.14692 | VERBATIM,Requesting CGRP mAbs or gepants as initial preventive therapy without prior oral preventive trials,AHS 2024 First-Line Position Statement,"Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Eptinezumab (Vyepti), Atogepant (Qulipta), Rimegepant (Nurtec ODT for prevention)",Cite AHS 2024 Position Statement directly. Use in conjunction with state-specific statutory language where Gold Card or step therapy reform laws exist.,,ALL
DENY-FIRST-002,First-Line CGRP - State Payer Policy (No Step Required),"This payer has adopted a first-line CGRP policy eliminating oral preventive step therapy requirements for migraine prevention. Per [PAYER] policy update effective [DATE], CGRP-targeting therapies are approved as first-line for [episodic/chronic] migraine without requiring failure of non-specific oral preventives. This aligns with the 2024 AHS Position Statement recognizing CGRPs as first-line options.",Payer-Specific Policies,WV Highmark Oct 2025 | LA BCBSLA 2026 | ND BCBSND Jan 2026 (Chronic only),Requesting CGRP at payer that has adopted first-line policy,Payer-Specific First-Line CGRP Policy,"Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Atogepant (Qulipta)",Verify payer policy is current. Note: ND BCBSND first-line is for CHRONIC migraine only (≥15 days/month); episodic still requires step therapy.,"WV: 'Per Highmark BCBS WV policy effective October 2025, CGRP mAbs are approved first-line for migraine prevention without oral step therapy.' | LA: 'Per BCBSLA 2026 formulary update, CGRP therapies are first-line for migraine.' | ND: 'Per BCBSND January 2026 Policy Update, CGRP-targeting therapies are first-line for CHRONIC migraine without oral preventive step therapy.'","WV,LA,ND"
DENY-FORM-001,Non-Preferred Agent Denial - Formulary Tier Exception Request,"The payer has classified the requested medication as Non-Preferred or placed it on a higher formulary tier (Tier 4/Specialty). The patient has documented clinical failure of, intolerance to, or contraindication to the payer's preferred formulary alternatives. Under 42 CFR §423.578 (Medicare Part D) and applicable state formulary exception laws, the patient is entitled to a Tier Exception when the preferred agent is medically inappropriate. The requested agent is the standard of care per the 2024 AHS Consensus Statement. The higher cost-sharing associated with the Non-Preferred tier creates a significant barrier to adherence, which is expected to worsen clinical outcomes including increased emergency department utilization and functional disability as measured by MIDAS/HIT-6 scores.",AHS Consensus 2021/2024 | 42 CFR §423.578 | CMS Medicare Part D Coverage Determination,Ailani J et al. Headache. 2021;61(7):1021-1039. | Charles A. Headache. 2024;64:333-342. | 42 CFR §423.578(a) - Coverage Determination for Tiered Cost-Sharing Exception,"Requested drug is Non-Preferred/Tier 4+ on payer formulary. Patient has failed, is intolerant to, or has contraindication to the preferred alternatives on the same formulary. Database G identifies preferred alternatives by Vault_Payer_ID for targeted language.",Tier Exception / Formulary Exception Request,"Qulipta (87% Non-Preferred), Vyepti (70% Non-Preferred), Ubrelvy (36%), Ajovy (30%), Nurtec ODT (26%), Aimovig (15%)","CRITICAL: Use Database G to identify the payer's SPECIFIC preferred agents before writing appeal. Example: If payer prefers Aimovig/Emgality, document failure of THOSE SPECIFIC agents. Do NOT generically say ""failed CGRPs"" — name the payer's preferred drugs by name. For Medicare Part D: Cite 42 CFR §423.578. For Commercial: Cite state formulary exception statute if available.",,ALL
DENY-FORM-002,Formulary Exclusion Denial - Non-Formulary Exception Request,"The payer has placed the requested medication on the Exclusion List / Non-Formulary status for the current plan year. However, this patient has a documented medical necessity for this specific agent that cannot be met by any formulary alternative. The patient has trialed and failed the payer's preferred agents [SPECIFY FROM DATABASE G] with documented adverse events or inadequate therapeutic response. Federal law (42 CFR §423.578 for Part D) and state law require payers to maintain an exceptions process for excluded medications when medical necessity is demonstrated. Denial of this exception forces the patient to use clinically inappropriate alternatives, violating the standard of care established by the 2024 American Headache Society Consensus Statement.",AHS Consensus 2024 | 42 CFR §423.578 | State Formulary Exception Statutes,Charles A. Headache. 2024;64:333-342. | 42 CFR §423.578(b) - Request for Exception to Formulary | CMS Medicare Prescription Drug Benefit Manual Ch. 18 §50.4,"Drug is excluded from formulary entirely. Most commonly: Ajovy (19 payers exclude), Aimovig (excluded by Point32Health, Blue KC). Patient is stable on excluded agent from prior plan year or prior payer. Forced switch risks clinical destabilization.",Non-Formulary Exception / Medical Necessity Override,"Ajovy (excluded at 19 payers incl. UHC in multiple states, Harvard Pilgrim), Aimovig (excluded at Point32Health MA, Blue KC KS), Emgality (excluded at Blue KC MO, MO Anthem)","For EXCLUDED drugs, the appeal bar is higher than Non-Preferred. Must demonstrate: (1) Failure of ALL formulary alternatives, not just preferred ones; (2) Unique clinical characteristic requiring THIS specific agent (e.g., Ajovy quarterly dosing for adherence, Aimovig receptor-blocking vs ligand-binding mechanism); (3) Risk of destabilization if switched. Pair with DENY-CONT-001 (Continuity of Care) if patient was stable on agent under prior plan.",,ALL
DENY-FORM-003,Step-Within-Class Denial - Preferred CGRP Agent Required Before Non-Preferred,"The payer requires failure of a preferred CGRP agent before authorizing the requested non-preferred CGRP. The patient has documented clinical failure of the payer's preferred CGRP agent(s) [SPECIFY: e.g., Aimovig 140mg x 3 months with <30% MMD reduction; Emgality 120mg x 3 months with inadequate response]. The CGRP monoclonal antibodies, while sharing the same target pathway, have distinct pharmacological mechanisms: Erenumab (Aimovig) is a CGRP receptor antagonist, while Fremanezumab (Ajovy) and Galcanezumab (Emgality) are CGRP ligand-binding antibodies. Failure of one mechanism does not predict failure of the other. The 2024 AHS Consensus Statement supports switching between CGRP mechanisms for non-responders.",AHS Consensus 2021/2024 | ACP Guidelines 2025,Ailani J et al. Headache. 2021;61(7):1021-1039. | Charles A. Headache. 2024;64:333-342. | Overeem LH et al. J Headache Pain. 2022;23(1):106 (switching CGRP mAbs efficacy),"Payer requires Aimovig or Emgality (preferred) before Ajovy, Qulipta, or Vyepti (non-preferred). Patient has failed the preferred agent. Database G Step_Within_Class field identifies the specific step-within-class requirements per payer (55 payers require ""Fail Aimovig first"", 22 require step within Ajovy/Emgality class, etc.).",Intra-Class Switch / Mechanism-of-Action Difference,"Ajovy (54 payers require step-within-class), Emgality (77 payers), Aimovig (44 payers), Vyepti (20 payers), Qulipta (21 payers)","KEY DISTINCTION: This code is for step-within-CGRP class (preferred→non-preferred CGRP), NOT for the initial step therapy requiring oral preventive failure (use DENY-STEP-001 through DENY-STEP-005 for those). Document: (1) Which preferred CGRP was tried; (2) Dose and duration (≥3 months at therapeutic dose); (3) Quantified response (<30% MMD reduction = inadequate); (4) Why the requested non-preferred agent is mechanistically different.",,ALL
DENY-FORM-004,Site-of-Care Denial - Vyepti/Botox Administration Setting Restriction,"The payer has denied coverage based on the site of administration (e.g., requiring home infusion instead of HOPD, or denying office-based administration). The patient requires administration in the requested setting due to [SPECIFY: history of infusion reaction requiring medical monitoring, difficult IV access requiring experienced staff, complex comorbidities requiring physician supervision, geographic inaccessibility of alternative settings, or needle phobia/inability to self-inject requiring supervised administration]. Site-of-care steering that ignores individual patient clinical needs violates the medical necessity standard. The prescribing physician has determined that the requested setting is the safest and most clinically appropriate for this patient.",AHS Consensus 2021 | CMS Site-of-Service Policy | State Patient Protection Statutes,Ailani J et al. Headache. 2021;61(7):1021-1039. | Dodick DW et al. Neurology. 2021;96(7):e1126-e1138 (Vyepti PROMISE trials) | CMS MLN Matters SE18023 - Medicare Site-of-Service Differential,"Vyepti (eptinezumab) or Botox (onabotulinumtoxinA) denied based on site of care. Common scenarios: (1) HOPD denied in favor of home infusion/freestanding center; (2) Office administration denied; (3) Infusion center required but patient needs hospital setting. Database G Site_of_Care field shows: 106 payers restrict Vyepti to Physician Office, 41 require Home Infusion, 7 have HOPD restrictions.",Medical Necessity for Specific Administration Setting,"Eptinezumab (Vyepti) - IV infusion J3032, OnabotulinumtoxinA (Botox) - physician-administered J0585","SITE-OF-CARE denials are INCREASING in 2026. Key arguments by setting: HOPD needed: ""History of infusion reaction / difficult IV access / complex comorbidities."" Office needed: ""Patient requires direct physician supervision during administration."" Home infusion needed: ""Patient is homebound / severe disability / transportation barriers."" IMPORTANT: If payer steers to home infusion, verify patient has adequate home setup. Pair with DENY-NEEDLE-001 when needle phobia is the driver for Vyepti over SC CGRPs.",,ALL
DENY-FORM-005,Quantity Limit Exception - Acute Migraine Medication QL Override,"The payer's quantity limit of [SPECIFY: e.g., 8 tablets/30 days for Nurtec, 16 tablets/30 days for Ubrelvy] is clinically insufficient for this patient's documented migraine frequency. The patient experiences [X] migraine days per month, requiring acute treatment on each attack day per clinical guidelines. The AHS and ACP guidelines recommend treatment of each individual attack; undertreating acute episodes increases the risk of chronification and medication overuse headache. The prescribing frequency is consistent with the FDA-approved dosing (Nurtec: 75mg as needed, max 1/day; Ubrelvy: 50-100mg, may repeat x1 after 2 hours). This quantity limit override is medically necessary to provide adequate acute migraine coverage and prevent progression to chronic daily headache.",AHS Consensus 2021 | ACP Guidelines 2025 | FDA Prescribing Information,"Ailani J et al. Headache. 2021;61(7):1021-1039. | ACP Clinical Guideline. Ann Intern Med. 2025. | Nurtec ODT PI: 75mg as needed, max 1/day. | Ubrelvy PI: 50-100mg, may repeat x1 after 2h, max 200mg/day",Payer imposes quantity limit on acute migraine medication below clinical need. Common QLs from Database G: Nurtec ODT 8/30 days (176 payers) or 16/30 days (105 payers); Ubrelvy 16/30 days (177 payers) or 10/30 days (45 payers). Patient with high-frequency episodic (8-14 MMD) or chronic migraine (≥15 MMD) needs more.,Quantity Limit Exception / Medical Necessity Override,"Rimegepant (Nurtec ODT) - QL typically 8-16/30d, Ubrogepant (Ubrelvy) - QL typically 10-16/30d, Atogepant (Qulipta) - QL typically 30/30d","PAIR WITH DENY-QL-001 (existing code for general QL override). This code is specific to formulary-driven QLs that are lower than FDA-approved usage. Document: (1) Monthly migraine day count from headache diary; (2) Current QL is insufficient (e.g., 8 tabs for 12 MMD patient); (3) Risk of undertreating: MOH progression, ED visits, missed work; (4) FDA label allows daily use for Nurtec (max 75mg/day).",,ALL
DENY-FORM-006,Formulary Change / Non-Medical Switching - Continuity of Care Defense,"The patient has been clinically stable on the requested medication for [X] months under their current or previous health plan. The payer's formulary change for the 2026 plan year has reclassified this medication as Non-Preferred, Excluded, or removed from the formulary. Forced switching to a different agent when the patient is clinically stable constitutes non-medical switching, which is prohibited or restricted under [STATE STATUTE] and violates continuity of care protections. The 2021 AHS Consensus Statement warns that switching stable migraine patients between CGRP therapies risks clinical destabilization, loss of therapeutic response, and regression to higher migraine frequency. The biological washout period for CGRP mAbs (5 half-lives = 5-7 months) means any switch carries significant risk of uncontrolled migraines during the transition period.",AHS Consensus 2021 | State Non-Medical Switching Laws | 42 CFR §423.120(b)(5),Ailani J et al. Headache. 2021;61(7):1021-1039. | 42 CFR §423.120(b)(5) - Transition Process for Part D | CMS Medicare Prescription Drug Benefit Manual Ch. 6 §30.4.3 (Transition Policy),"Patient stable on a CGRP medication that was reclassified in 2026 formulary update. Most common: Ajovy moved to Excluded (19 payers), plan transitions from one PBM to another (e.g., CVS Caremark → Express Scripts swap). Patient faces immediate non-formulary rejection.",Continuity of Care Exception / Transition Supply / Non-Medical Switching Defense,"All CGRP mAbs (Aimovig, Emgality, Ajovy), Gepants (Nurtec, Ubrelvy, Qulipta), OnabotulinumtoxinA (Botox) - any agent affected by formulary reclassification",PAIR WITH DENY-SWITCH-001 (existing non-medical switching code) and DENY-CONT-001 (continuity of care). This code adds the FORMULARY-SPECIFIC context from Database G. For Medicare Part D: CMS requires a minimum 90-day transition supply for new enrollees. For Commercial: Check Database F for state-specific non-medical switching laws. KEY: File within 30-60 days of plan effective date to invoke transition protections. Document: (1) Duration of stability on current agent; (2) Specific formulary change; (3) MMD reduction achieved; (4) Risk of destabilization with switch.,,ALL
DENY-FORM-007,IV CGRP (Vyepti) Step-Within-Class - SC CGRP Failure Required Before IV,"The payer requires failure of subcutaneous self-injectable CGRP mAb(s) before authorizing IV eptinezumab (Vyepti). The patient has documented failure of [SPECIFY SC CGRP from Database G preferred list] with inadequate therapeutic response (MMD reduction <30% after ≥3 months at therapeutic dose). Alternatively, the patient has a documented inability to self-administer subcutaneous injections due to [needle phobia / dexterity impairment / cognitive limitations / caregiver unavailability]. IV eptinezumab offers a distinct pharmacological profile: (1) 100% bioavailability via IV route; (2) rapid onset within 1 day of infusion (vs. weeks for SC agents); (3) quarterly dosing reduces adherence burden; (4) physician-supervised administration ensures compliance. Per the AHS 2021 Consensus Statement, route of administration should be individualized based on patient needs.",AHS Consensus 2021/2024 | FDA Prescribing Information - Vyepti,"Ailani J et al. Headache. 2021;61(7):1021-1039. | Dodick DW et al. Neurology. 2021;96(7):e1126-e1138 (PROMISE-1 & PROMISE-2 trials) | Vyepti (eptinezumab-jjmr) Prescribing Information, Lundbeck 2025","Vyepti requires step through SC CGRP at 20 payers. Step requirements include: ""Fail SC CGRP before Vyepti"" (2 payers), ""Fail Aimovig/Emgality before Vyepti"" (1 payer), ""Fail injectable CGRP first"" (4 payers). Total Vyepti records with step-within-class: 20.",SC CGRP Failure Documentation / Needle Phobia / Self-Administration Inability,Eptinezumab (Vyepti) 100mg or 300mg IV infusion - J3032,"Vyepti has TWO distinct denial pathways — this code covers the step-within-class requirement (fail SC before IV). For site-of-care issues use DENY-FORM-004. For needle phobia driving Vyepti choice over SC CGRPs, PAIR with DENY-NEEDLE-001. Document: (1) Which SC CGRPs were tried and results; (2) Duration and dose of each trial; (3) Why IV is specifically needed. Note: 70% of payers classify Vyepti as Non-Preferred — may also need DENY-FORM-001.",,ALL
