State,Payer_Name,Payer_Type,LOB,Drug_Class,Medication_Category,Step_Therapy_Required,Step_1_Requirement,Step_1_Duration,Step_2_Requirement,Step_2_Duration,Quantity_Limit,Contraindication_Bypass,Gold_Card_Available,Gold_Card_Threshold,Policy_ID,Source_Document,Vault_Payer_ID,National_Payer_ID,Vault_Denial_Code,Episodic_Same_As_Chronic,High_Freq_Episodic_Threshold,Episodic_Notes
DE,Cigna,Commercial,Commercial,Gepants (Acute),Acute,Yes,≥1 triptan,Trial required,,,Plan dependent,Yes - CV contraindication,Yes (National Gold Card),Voluntary program,Cigna Medical Policy,Delaware_2026_PA_Audit,DE-COM-CIGNA,62308,DENY-STEP-001,True,,
DE,Cigna,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,≥2 oral preventive classes,Trial required,,,Monthly supply,Yes,Yes (National Gold Card),Voluntary program,Cigna Medical Policy,Delaware_2026_PA_Audit,DE-COM-CIGNA,62308,DENY-STEP-002,False,8.0,Cigna: Standard episodic (4-7d) = triptan failure only for acute; High-freq episodic (≥8d) = 1 oral class for CGRP; Chronic (≥15d) = 2 oral classes. MIDAS ≥11 required for all preventives.
DE,Novitas Solutions,Medicare MAC,Part B,Neurotoxins,Chronic Migraine,Yes,≥2 classes; headache diary required,Trial required,,,155 units/12 weeks,Yes,,,LCD L38809,Delaware_2026_PA_Audit,DE-MAC-NOVITAS,MAC-JL,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
AL,UnitedHealthcare,Commercial,Commercial,Gepants (Acute),Acute,Yes,≥2 triptans,≥30 days per agent,,,"Nurtec 8/30d, Ubrelvy 16/30d",Yes - CV contraindication,Yes (National Gold Card),≥92% approval x 2 years,UHC CGRP Policy,Alabama_2026_PA_Audit,AL-COM-UHC,87726,DENY-STEP-001,True,,
AL,UnitedHealthcare,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,"≥2 oral preventives (beta-blocker, topiramate, divalproex, amitriptyline/venlafaxine)",≥2 months each,Fail Aimovig OR Emgality for non-preferred (Ajovy),,Monthly supply,Yes - teratogenic; CV,Yes (National Gold Card),≥92% approval x 2 years,UHC CGRP Policy,Alabama_2026_PA_Audit,AL-COM-UHC,87726,DENY-STEP-002,True,,
AL,UnitedHealthcare,Commercial,Commercial,Neurotoxins,Chronic Migraine,Yes,Check Gold Card status first - Advance Notification only if Gold Carded,,,,155 units/12 weeks,Yes,Yes (National Gold Card),≥92% approval x 2 years,UHC Medical Policy,Alabama_2026_PA_Audit,AL-COM-UHC,87726,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
AL,Blue Cross Blue Shield Alabama,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,≥2 different oral preventive classes,≥8 weeks each,,,⚠️ 87% market share = BCBSAL denial = statewide denial; Source+Rx formulary; Prime Therapeutics; ⚠️ 'Consensus Agreement' = No AI Denial + quasi-Gold Card,Yes - teratogenic; cognitive; respiratory,✓ Voluntary Consensus Agreement,90%,Source+Rx Formulary,Alabama_2026_PA_Audit,AL-COM-BCBSAL,BCBSAL,DENY-STEP-002,True,,
AL,Palmetto GBA,Medicare MAC,Part B,Neurotoxins,Chronic Migraine,Yes,≥2 conventional preventives; ICD-10 G43.7xx ONLY,Adequate trial,,,155 units/12 weeks; JW modifier required for waste,Yes,,,LCD DL39909 (eff. 2/15/2026),Alabama_2026_PA_Audit,AL-MAC-PALMETTO,MAC-JJ,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
MI,Blue Cross Blue Shield MI,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,≥2 oral preventive classes,≥8 weeks each,,,Monthly supply,Yes - teratogenic; CV,No,,BCBSMI Medical Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-MICHBCBS,710,DENY-STEP-002,True,,
MI,Priority Health,Commercial,Commercial,Gepants (Acute),Acute,Yes,≥2 triptans,Trial required,,,Plan dependent,Yes - CV contraindication,Yes (Priority Gold Card),High approval rate,Priority Health Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-PRIORITY,38259,DENY-STEP-001,True,,
MI,Priority Health,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,≥2 oral preventives,Trial required,,,Monthly supply,Yes; honors continuity of care,Yes (Priority Gold Card),High approval rate,Priority Health Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-PRIORITY,38259,DENY-STEP-002,True,,
MI,Priority Health,Commercial,Commercial,Neurotoxins,Chronic Migraine,Yes,≥2 oral preventives; no concurrent CGRP unless refractory appeal,Trial required,,,155 units/12 weeks,Yes,Yes (Priority Gold Card),High approval rate,Priority Health Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-PRIORITY,38259,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
MI,UnitedHealthcare,Commercial,Commercial,Gepants (Acute),Acute,Yes,1-2 triptans (plan dependent),≥30 days,,,"Nurtec 8/30d, Ubrelvy 16/30d",Yes - CV contraindication,Yes (National Gold Card),≥92% approval x 2 years,UHC CGRP Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-UHC,87726,DENY-STEP-001,True,,
MI,UnitedHealthcare,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,≥2 oral preventive classes; Aimovig/Emgality preferred,≥6 weeks each,Ajovy requires fail of Aimovig OR Emgality,,Monthly supply,Yes,Yes (National Gold Card),≥92% approval x 2 years,UHC CGRP Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-UHC,87726,DENY-STEP-002,True,,
MI,UnitedHealthcare,Commercial,Commercial,Neurotoxins,Chronic Migraine,Yes,≥2 oral preventives; strict 15 day documentation,Trial required,,,155 units/12 weeks,Yes,Yes (National Gold Card - CPT 64615),≥92% approval x 2 years,UHC Medical Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-UHC,87726,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
ME,Anthem BCBS Maine,Commercial,Commercial,Gepants (Acute),Acute,Yes,≥2 triptans,Trial required,,,Plan dependent,Yes - CV contraindication,No state mandate,,Anthem CarelonRx,Maine_2026_PA_Audit_Report,ME-COM-ELEV,47198,DENY-STEP-001,True,,
ME,Anthem BCBS Maine,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,"≥2-3 oral preventive classes (beta-blocker, TCA, anticonvulsant)",Trial required,,,Monthly supply,Yes - teratogenic; CV; asthma,No state mandate,,Anthem CarelonRx,Maine_2026_PA_Audit_Report,ME-COM-ELEV,47198,DENY-STEP-002,False,8.0,Anthem: Episodic (<8d) = 1 oral class; Episodic (≥8d) = same as chronic (1 oral class). More lenient than most payers for episodic.
ME,MaineCare,Medicaid FFS,Medicaid,Gepants (Acute),Acute,Yes,≥1 triptan (PDL requirement),Trial required,,,PDL limits,Yes - CV contraindication,,,MaineCare PDL,Maine_2026_PA_Audit_Report,ME-MCD-MAINECARE,STATE-ME,DENY-STEP-001,True,,
ME,MaineCare,Medicaid FFS,Medicaid,CGRP mAbs (SC),Preventive,Yes,Per PDL requirements,Trial required,,,PDL limits,Yes per 24-A MRSA §4304-B,,,MaineCare PDL,Maine_2026_PA_Audit_Report,ME-MCD-MAINECARE,STATE-ME,DENY-STEP-002,True,,
ME,Community Health Options,Commercial,Exchange,Gepants (Acute),Acute,Yes,≥2 triptans (Express Scripts),Trial required,,,Plan dependent,Yes - CV contraindication; CISP bypass available,No,,CHO/ESI Formulary,Maine_2026_PA_Audit_Report,ME-COM-COMMHEALTH,MHMC1,DENY-STEP-001,True,,
ME,Harvard Pilgrim,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,≥2 oral preventive classes,Trial required,Ajovy EXCLUDED 2026,,Monthly supply,Yes,No,,Point32Health Policy,Maine_2026_PA_Audit_Report,ME-COM-HARVARD,4271,DENY-STEP-002,True,,
ME,National Government Services,Medicare MAC,Part B,Neurotoxins,Chronic Migraine,Yes,≥2 conventional preventives; headache diary,Adequate trial,,,155 units/12 weeks; JZ modifier required,Yes,,,LCD L33646,Maine_2026_PA_Audit_Report,ME-MAC-NGS,MAC-JK,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
NH,Anthem BCBS New Hampshire,Commercial,Commercial,Neurotoxins,Chronic Migraine,Yes,≥2 oral preventive classes,≥8 weeks each,,,155 units/12 weeks,Yes,No state mandate,,Carelon Medical,New_Hampshire_2026_PA_Audit,NH-COM-ANTHEM,47198,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
NH,NH Healthy Families,Medicaid MCO,Medicaid,Gepants (Acute),Acute,Yes,≥2 triptans (Centene PDL),Trial required,,,PDL limits,Yes - CV contraindication,No,,NH.PHAR.476,New_Hampshire_2026_PA_Audit,NH-MCD-GRANITE,68069,DENY-STEP-001,True,,
NH,NH Healthy Families,Medicaid MCO,Medicaid,CGRP mAbs (SC),Preventive,Yes,≥2 oral preventive classes (strict PDL),Trial required,,,PDL limits,Yes,No,,Centene Policy,New_Hampshire_2026_PA_Audit,NH-MCD-GRANITE,68069,DENY-STEP-002,True,,
NH,National Government Services,Medicare MAC,Part B,Neurotoxins,Chronic Migraine,Yes,≥2 conventional preventives,Adequate trial,,,155 units/12 weeks,Yes,,,LCD L33646,New_Hampshire_2026_PA_Audit,NH-MAC-NGS,MAC-JK,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
NY,NYRx (New York State Medicaid),Medicaid FFS,Medicaid Pharmacy,Gepants (Acute),Acute,Yes,"≥1 triptan trial (failure/intolerance/contraindication),Per clinical judgment,N/A",,Nurtec ODT 18-24 doses/30-40d acute; 8 tabs/30d some contexts; Ubrelvy standard QL,Yes - CV contraindication to vasoconstrictive agents (CAD, uncontrolled HTN, PVD) bypasses triptan requirement immediately,N/A - State Medicaid,,NYRx PDL Clinical Criteria,New_York_2026_PA_Audit,NY-MCD-NYRX,NYRX,DENY-STEP-001,True,,
NY,NYRx (New York State Medicaid),Medicaid FFS,Medicaid Pharmacy,CGRP mAbs (SC),Preventive,Yes,"≥2 oral preventive classes (Beta-blockers, Anticonvulsants, Antidepressants) - CAPPED at 2 per NY Chapter 20 Laws 2025",≤30 days or per evidence-based guidelines (NY law),,,Emgality 120mg PREFERRED; Nurtec ODT PREFERRED for episodic prevention (EOD dosing); Aimovig/Ajovy/Qulipta NON-PREFERRED require step through preferred,Yes - contraindication/harm; clinical ineffectiveness; stability/continuity of care; best interest (NY Ins Law §4903 override criteria),N/A - State Medicaid,,NYRx PDL / NY Ins Law §4902,New_York_2026_PA_Audit,NY-MCD-NYRX,NYRX,DENY-STEP-002,True,,
NY,Fidelis Care (Centene),Medicaid MCO,Medical Benefit,Neurotoxins,Chronic Migraine,Yes,"≥2 oral preventive classes (Topiramate, Propranolol, Amitriptyline) - CAPPED at 2 per NY Chapter 20,≥2 months each (but ≤30 days if adverse event per NY law),N/A",,155-200 units/12 weeks; Chronic Migraine (≥15 HA days/mo, ≥8 migraine days, ≥4 hours duration) for ≥3 months; reauth requires ≥7 day reduction or functional improvement,Yes - cognitive slowing (topiramate); hypotension (beta-blockers); adverse event discontinuation valid regardless of duration per NY Ins Law §4902,N/A - Medicaid MCO,,Centene CP.MP.162/CP.FC.05,New_York_2026_PA_Audit,NY-MCD-FIDELIS,13551,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
NY,Fidelis Care (Centene),Medicaid MCO,Medical Benefit,CGRP mAbs (IV),Chronic Migraine,Yes,"≥2 oral preventive classes,≥2 months each",≥1-2 SC CGRPs (Aimovig/Emgality) OR Botox,Documented failure/intolerance,J3032; Non-Preferred; Site of Care restriction - non-hospital settings preferred unless medical necessity (severe infusion reaction history, difficult venous access),Yes - inability to self-inject; GI malabsorption (bioavailability argument); SC injection failures,N/A - Medicaid MCO,,Centene CP.FC.05 Vyepti,New_York_2026_PA_Audit,NY-MCD-FIDELIS,13551,DENY-QL-001,True,,
NY,Empire BlueCross BlueShield,Commercial,Commercial,Gepants (Acute),Acute,Yes,"≥2 different triptans (sumatriptan, rizatriptan, etc.),≥4 weeks each,N/A",,Qulipta/Nurtec Tier 2 (oral-forward formulary); Ubrelvy Tier 3/4; standard QL enforcement,Yes - CV risk factors (CAD, PVD, uncontrolled HTN) = triptan contraindicated = immediate bypass per NY Ins Law §4903,Pending (S7470),N/A - pending legislation,Empire Select Drug List 2026,New_York_2026_PA_Audit,NY-COM-EMPIREBCBS,13551,DENY-STEP-001,True,,
NY,Empire BlueCross BlueShield,Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,"≥1-2 oral preventive classes (Beta-blockers, Anticonvulsants) - plan rider dependent; CAPPED at 2 per NY law",≤30 days or per guidelines,,,Qulipta/Nurtec/Emgality/Aimovig Tier 2 PREFERRED; Ajovy Tier 3/4 Non-Preferred; Empire is 'oral-forward' - favorable for patients preferring oral over injection,Yes - asthma/bradycardia (beta-blocker contraindication); cognitive impairment (topiramate); teratogenic bypass,Pending (S7470),N/A - pending legislation,Empire CGRP Policy,New_York_2026_PA_Audit,NY-COM-EMPIREBCBS,13551,DENY-STEP-002,True,,
NY,Empire BCBS,Medicare Advantage,Part B,Neurotoxins,Chronic Migraine,Yes,Per NGS LCD L33646,Adequate trial,,,155 units/12 weeks,Yes,,,LCD L33646,New_York_2026_PA_Audit,NY-MA-EMPIREBCBS,47198,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
NY,UnitedHealthcare (Oxford),Commercial,Commercial,Gepants (Acute),Acute,Yes,≥2 triptans (failure/contraindication/intolerance),≥4 weeks each,,,Nurtec ODT 8 tabs/30d acute (15-16 tabs if approved for prevention); Ubrelvy 10-16 tabs/30d; aggressive QL enforcement; MOH monitoring,Yes - CV contraindication; reauth requires NO medication overuse headache + clinical improvement documented,Yes (Voluntary),92% approval rate on specific codes - check UHC Provider Portal for eligibility,UHC PA-Notification-Nurtec-Qulipta-Ubrelvy-Zavzpret,New_York_2026_PA_Audit,NY-COM-UHC,87726,DENY-STEP-001,True,,
NY,UnitedHealthcare (Oxford),Commercial,Commercial,CGRP mAbs (SC),Preventive,Yes,≥2 oral preventive classes - strict step therapy enforcement via Designated Specialty Programs,≥8 weeks each,,,Aimovig/Emgality PREFERRED; Ajovy EXCLUDED or Non-Preferred (must fail preferred first); Qulipta/Nurtec gated behind oral preventive failures,Yes - teratogenic; CV contraindication; documented intolerance,Yes (Voluntary),92% approval rate on specific codes,UHC PA-CGRP-Receptor-Antagonists,New_York_2026_PA_Audit,NY-COM-UHC,87726,DENY-STEP-002,True,,
NY,UnitedHealthcare (Oxford),Commercial,Commercial,Neurotoxins,Chronic Migraine,Yes,"≥3 oral preventive classes (Antidepressants, Anticonvulsants, Beta-blockers) - ⚠️ POTENTIALLY NON-COMPLIANT with NY 2-drug cap law",≥8 weeks each,,,Chronic Migraine (≥15 HA days/mo for >3 months); 50% REDUCTION in frequency/intensity required for reauth - higher bar than 'clinical improvement'; precise documentation required,Yes - documented specific failures; APPEAL 3rd drug requirement citing NY Chapter 20 Laws 2025 (N.Y. Ins. Law §4902),Yes (Voluntary),92% approval rate on specific codes,UHC Policy 2026T0004W,New_York_2026_PA_Audit,NY-COM-UHC,87726,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
NY,EmblemHealth (GHI/HIP),Commercial,Commercial,Neurotoxins,Chronic Migraine,Yes,≥2 oral preventive classes,≥8 weeks each,,,Always requires Preauthorization; Medical Benefit; clinical improvement for reauth; emphasize 'impact on essential job functions' for City employees,Yes - documented oral preventive failures/intolerances,Pending (S7470),N/A - pending legislation,EmblemHealth Medical Policy,New_York_2026_PA_Audit,NY-COM-EMBLEM,13141,DENY-STEP-002,False,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
