Medication_Name,Generic_Name,Drug_Class,ACP_Drug_Class_Category,Therapeutic_Dose_Min,Therapeutic_Dose_Max,Dose_Unit,Trial_Duration_Min_Weeks,Trial_Duration_AHS_2021,Trial_Duration_ACP_2025,Evidence_Level,Common_Starting_Dose,Titration_Schedule,Common_AEs_Leading_to_Discontinuation,Contraindications,Step_Therapy_Class_Count,RxNorm_ID,Source_Citation
Atogepant,atogepant,Gepant,CGRP antagonist-gepant,30,60,mg/day,12,3 months,3 months,Level A (Established),60mg daily OR 30mg BID,Fixed dosing; reduce to 10mg daily with strong CYP3A4 inhibitors,Nausea; constipation; fatigue; decreased appetite,Hypersensitivity; avoid with strong CYP3A4 inducers,Gepant class (separate from mAbs) - daily prevention,2468233,AHS 2024; FDA-approved for prevention
Rimegepant,rimegepant,Gepant,CGRP antagonist-gepant,75,75,mg every other day,12,3 months,3 months,Level A (Established),75mg every other day for prevention,Fixed dosing,Nausea; hypersensitivity reactions (rare),Hypersensitivity; avoid with strong CYP3A4 inhibitors or inducers,Gepant class - dual acute/preventive indication,2472464,AHS 2024; FDA-approved for prevention and acute
Sumatriptan,sumatriptan,Triptan,Migraine-specific acute,50,100,mg/dose,N/A,N/A - acute treatment,N/A - acute treatment,Level A (Established),50mg oral; 6mg SC; 20mg nasal,PRN for acute attacks; max 200mg/day oral,Chest tightness; paresthesias; flushing; triptan sensations,CV disease; uncontrolled HTN; hemiplegic/basilar migraine; concurrent ergots/MAOIs,Triptan class - 2 triptan failures required for gepants,103940,AHS 2019
Rizatriptan,rizatriptan,Triptan,Migraine-specific acute,5,10,mg/dose,N/A,N/A - acute treatment,N/A - acute treatment,Level A (Established),10mg (5mg with propranolol),PRN; max 30mg/day,Chest tightness; dizziness; somnolence,CV disease; uncontrolled HTN; hemiplegic/basilar migraine,Triptan class - 2 triptan failures required for gepants,203155,AHS 2019
Eletriptan,eletriptan,Triptan,Migraine-specific acute,20,40,mg/dose,N/A,N/A - acute treatment,N/A - acute treatment,Level A (Established),40mg,PRN; may repeat after 2 hours; max 80mg/day,Asthenia; chest tightness; dizziness,CV disease; severe hepatic impairment; concurrent CYP3A4 inhibitors,Triptan class - 2 triptan failures required for gepants,328050,AHS 2019
Zolmitriptan,zolmitriptan,Triptan,Migraine-specific acute,2.5,5,mg/dose,N/A,N/A - acute treatment,N/A - acute treatment,Level A (Established),2.5mg oral or nasal,PRN; max 10mg/day,Paresthesias; chest tightness; somnolence,CV disease; uncontrolled HTN; hemiplegic/basilar migraine,Triptan class - 2 triptan failures required for gepants,117042,AHS 2019
Naratriptan,naratriptan,Triptan,Migraine-specific acute,1,2.5,mg/dose,N/A,N/A - acute treatment,N/A - acute treatment,Level A (Established),2.5mg,PRN; max 5mg/day; slower onset but longer duration,Well-tolerated; less recurrence than sumatriptan,CV disease; severe renal/hepatic impairment,Triptan class - 2 triptan failures required for gepants,352100,AHS 2019
Frovatriptan,frovatriptan,Triptan,Migraine-specific acute,2.5,2.5,mg/dose,N/A,N/A - acute treatment,N/A - acute treatment,Level A (Established),2.5mg,PRN; max 7.5mg/day; longest half-life; used for menstrual prophylaxis,Well-tolerated; chest tightness less common,CV disease; hemiplegic/basilar migraine,Triptan class - 2 triptan failures required for gepants,150439,AHS 2019
Almotriptan,almotriptan,Triptan,Migraine-specific acute,6.25,12.5,mg/dose,N/A,N/A - acute treatment,N/A - acute treatment,Level A (Established),12.5mg,PRN; max 25mg/day,Well-tolerated; paresthesias; chest tightness,CV disease; hemiplegic/basilar migraine,Triptan class - 2 triptan failures required for gepants,328166,AHS 2019
Ubrogepant,ubrogepant,Gepant (acute),CGRP antagonist-gepant (acute),50,100,mg/dose,N/A,N/A - acute treatment,N/A - acute treatment,Level A (Established),50mg or 100mg,PRN; may repeat after 2 hours; max 200mg/day,Nausea; somnolence,Concurrent strong CYP3A4 inhibitors; severe hepatic impairment,Gepant class - requires 2 triptan failures unless contraindication,2390087,AHS 2021; FDA-approved
Lasmiditan,lasmiditan,Ditan,5-HT1F agonist,50,200,mg/dose,N/A,N/A - acute treatment,N/A - acute treatment,Level A (Established),100mg,PRN; max 200mg/day; do not drive for 8 hours,Dizziness; fatigue; paresthesias; sedation,Driving restriction for 8 hours post-dose,Ditan class (non-vasoconstrictor) - requires 2 triptan failures unless contraindication,2268036,AHS 2021; FDA-approved; no CV contraindications
Verapamil,verapamil,Calcium channel blocker,Calcium channel blocker (cluster prevention),240,960,mg/day,2,2-4 weeks (cluster cycles shorter),N/A - cluster specific,Level A for cluster (AHS 2016),80mg TID (240mg/day),Increase by 80mg every 3-7 days; ECG required at doses >480mg; max 960mg/day,Constipation; bradycardia; hypotension; edema; heart block (dose-dependent),Sick sinus syndrome; 2nd/3rd degree AV block; severe LV dysfunction; hypotension; concurrent beta-blockers (relative),Primary cluster preventive - counts as 1 cluster step,11170,AHS Cluster Headache Guidelines 2016; Robbins MS et al. Headache 2016;56:1093-1106
Verapamil ER,verapamil extended-release,Calcium channel blocker,Calcium channel blocker (cluster prevention),240,960,mg/day,2,2-4 weeks,N/A - cluster specific,Level A for cluster (AHS 2016),240mg daily,Increase by 120-240mg every 3-7 days; ECG monitoring required >480mg,Constipation; bradycardia; edema; heart block,Sick sinus syndrome; AV block; severe LV dysfunction; hypotension,Primary cluster preventive - counts as 1 cluster step,897718,AHS Cluster Headache Guidelines 2016
Lithium Carbonate,lithium carbonate,Mood stabilizer,Lithium (cluster prevention),600,1200,mg/day,2,2-4 weeks (with level monitoring),N/A - cluster specific,Level B for cluster (AHS 2016),300mg BID-TID,Adjust based on serum levels (0.6-1.2 mEq/L); check levels after 5-7 days; renal/thyroid monitoring required,Tremor; polyuria/polydipsia; weight gain; hypothyroidism; renal impairment; cognitive dulling,Significant renal impairment; severe cardiovascular disease; dehydration; sodium depletion; pregnancy,Cluster preventive - counts as 1 cluster step,6380,AHS Cluster Headache Guidelines 2016; Level B evidence
Galcanezumab (Cluster Headache),galcanezumab-gnlm,CGRP mAb,CGRP monoclonal antibody (cluster headache),300,300,mg/month,4,1 month (assess during cluster period),N/A - cluster specific,Level A for EPISODIC cluster (FDA approved 2019),300mg SC monthly (three 100mg injections),Fixed 300mg monthly dosing; no titration; ideally start at cluster onset,Injection site reactions; injection site pruritus,Hypersensitivity; ⚠️ NOT indicated for CHRONIC cluster headache (Phase 3 failed),⭐ ONLY FDA-APPROVED CGRP FOR CLUSTER - requires verapamil/lithium failure at most payers,2058880,FDA Approval June 2019; Goadsby PJ et al. NEJM 2019;381:132-141
Sumatriptan SC (Cluster Acute),sumatriptan subcutaneous,Triptan,Triptan (cluster acute),6,6,mg/dose SC,N/A,N/A - acute treatment,N/A - acute treatment,Level A for cluster acute (AHS 2016),6mg SC PRN,PRN for acute attacks; max 2 injections/24 hours (12mg); minimum 1 hour between doses,Injection site reactions; chest tightness; triptan sensations,CV disease; uncontrolled HTN; hemiplegic migraine; concurrent ergots/MAOIs,First-line acute cluster treatment (with oxygen),313196,AHS Cluster Headache Guidelines 2016; Level A evidence for SC route
High-Flow Oxygen (Cluster Acute),oxygen inhalation therapy,Medical gas,Oxygen therapy (cluster acute),12,15,L/min via non-rebreather mask,N/A,N/A - acute treatment,N/A - acute treatment,Level A for cluster acute (AHS 2016),12-15 L/min via non-rebreather mask for 15-20 minutes,PRN for acute attacks; 15-20 minute treatment duration; may repeat,None significant; fire hazard with smoking,COPD with CO2 retention (relative); smoking near oxygen (fire risk),First-line acute cluster treatment (with SC sumatriptan),N/A,AHS Cluster Headache Guidelines 2016; Cohen AS et al. JAMA 2009;302:2451-2457
Prednisone (Cluster Transitional),prednisone,Corticosteroid,Corticosteroid (cluster transitional),60,100,mg/day (tapered),2,2-3 weeks with taper,N/A - cluster specific,Level C for cluster transitional (AHS 2016),60-100mg daily,"Start high then taper over 2-3 weeks (e.g., 60mg x 4d then decrease by 10mg every 3-4 days)",Insomnia; mood changes; hyperglycemia; GI upset; weight gain,Active infection; uncontrolled diabetes; psychosis history; peptic ulcer disease,Transitional/bridge therapy while titrating verapamil - not counted as preventive failure,8640,AHS Cluster Headache Guidelines 2016; Level C evidence; used as bridge therapy
