Payer_Name,Slug,State,Parent_Organization,National_Payer_ID,Market_Share_Pct,LOB,LOB_Code,Data_Notes,PBM_Partner,Vault_Payer_ID,Submission_Channel,Payer_Specific_URL,Standard_Turnaround,Expedited_Turnaround,Gold_Card_Status,Update_Date,Extraction_Status
Aetna,AETNA,MI,CVS Health,60054,5.0,COM,COM,State filings estimate,CVS Caremark,MI-COM-AETNA,,,,,,,
Aetna,AETNA,MS,CVS Health,60054,8.0,COM,COM,State filings estimate,CVS Caremark,MS-COM-AETNA,,,,,,,
Aetna,AETNA,MO,CVS Health,60054,12.0,COM,COM,State filings estimate,CVS Caremark,MO-COM-AETNA,,,,,,,
Aetna,AETNA,NE,CVS Health,60054,8.0,COM,COM,State filings estimate,CVS Caremark,NE-COM-AETNA,,,,,,,
Aetna,AETNA,NV,CVS Health,60054,6.0,COM,COM,State filings estimate,CVS Caremark,NV-COM-AETNA,,,,,,,
Aetna,AETNA,NH,CVS Health,60054,8.0,COM,COM,State filings estimate,CVS Caremark,NH-COM-AETNA,,,,,,,
Aetna,AETNA,NJ,CVS Health,60054,20.0,COM,COM,CVS Health; 'Smart Edit' automation - if 2 triptan claims in 180 days system auto-pays Gepant at POS; rigid but transparent CPBs; Cluster Headache requires Verapamil/Lithium failure (not migraine criteria); coded data more important than letter,CVS Caremark,NJ-COM-AETNA,Aetna Provider Portal / CVS Caremark,https://www.aetna.com/providers/,72 hours (A1825),24 hours (urgent),A1825 Step Therapy Override applies,2026-01-11,ENRICHED
Aetna,AETNA,NY,CVS Health,60054,15.0,COM,COM,Aggressive MOH (medication overuse) denials; CPB 0970 for Vyepti requires 3-month preventive failure + 2 SC CGRP failures; strict 16 tab/30d QL on gepants; 50% reduction for Botox reauth,CVS Caremark,NY-COM-AETNA,Availity / Aetna Provider Portal,https://www.aetna.com/health-care-professionals.html,7 calendar days,72 hours,Pending (S7470 not codified),2026-01-11,ENRICHED
Aetna,AETNA,NC,CVS Health,60054,12.0,COM,COM,State filings estimate,CVS Caremark,NC-COM-AETNA,,,,,,,
Aetna,AETNA,OH,CVS Health,60054,12.0,COM,COM,State filings estimate,CVS Caremark,OH-COM-AETNA,,,,,,,
Aetna,AETNA,OK,CVS Health,60054,10.0,COM,COM,State filings estimate,CVS Caremark,OK-COM-AETNA,,,,,,,
Aetna,AETNA,PA,CVS Health,60054,10.0,COM,COM,State filings estimate,CVS Caremark,PA-COM-AETNA,,,,,,,
Aetna,AETNA,RI,CVS Health,60054,10.0,COM,COM,State filings estimate,CVS Caremark,RI-COM-AETNA,,,,,,,
Aetna,AETNA,SC,CVS Health,60054,10.0,COM,COM,State filings estimate,CVS Caremark,SC-COM-AETNA,,,,,,,
Aetna,AETNA,TN,CVS Health,60054,10.0,COM,COM,State filings estimate,CVS Caremark,TN-COM-AETNA,,,,,,,
Aetna,AETNA,TX,CVS Health,60054,12.0,COM,COM,State filings estimate,CVS Caremark,TX-COM-AETNA,,,,,,,
Aetna,AETNA,VA,CVS Health,60054,15.0,COM,COM,State filings estimate,CVS Caremark,VA-COM-AETNA,,,,,,,
Aetna,AETNA,WA,CVS Health,60054,10.0,COM,COM,State filings estimate,CVS Caremark,WA-COM-AETNA,,,,,,,
Aetna,AETNA,WV,CVS Health,60054,12.0,COM,COM,State filings estimate,CVS Caremark,WV-COM-AETNA,,,,,,,
Aetna,AETNA,WY,CVS Health,60054,8.0,COM,COM,State filings estimate,CVS Caremark,WY-COM-AETNA,,,,,,,
Allegiance,ALLEG,MT,Cigna,62308,8.0,COM,COM,TPA/Regional,Express Scripts,MT-COM-ALLEG,,,,,,,
Ambetter,AMBET,GA,Centene,68069,5.0,COM,COM,ACA Exchange leader with narrow networks; highly restrictive formularies to maintain lower premiums; CGRP access heavily gated; expected influx from Aetna exit patients,Express Scripts,GA-COM-AMBET,CoverMyMeds / Ambetter Portal,https://www.ambetter.pshpgeorgia.com/,7 calendar days,72 hours,SB 5 Applies - July 1 2026,2026-01-11,ENRICHED
Ambetter,AMBET,KS,Centene,68069,5.0,COM,COM,Exchange presence,Express Scripts,KS-COM-AMBET,,,,,,,
Ambetter,AMBET,MS,Centene,68069,6.0,COM,COM,Exchange presence,Express Scripts,MS-COM-AMBET,,,,,,,
Ambetter,AMBET,MO,Centene,68069,10.0,COM,COM,Exchange presence,Express Scripts,MO-COM-AMBET,,,,,,,
Ambetter,AMBET,NE,Centene,68069,6.0,COM,COM,Exchange presence,Express Scripts,NE-COM-AMBET,,,,,,,
Ambetter,AMBET,NH,Centene,68069,6.0,COM,COM,Exchange presence | DEPRECATED 2026-02-06: Duplicate of NH-COM-AMBETTER,Express Scripts,NH-COM-AMBET,,,,,,,DEPRECATED — Merged into NH-COM-AMBETTER
Ambetter,AMBET,NM,Centene,68069,5.0,COM,COM,Exchange presence,Express Scripts,NM-COM-AMBET,,,,,,,
Ambetter,AMBET,NC,Centene,68069,6.0,COM,COM,Centene subsidiary; formulary shifts frequently based on rebates (Ajovy/Emgality rotate as preferred); Botox requires 2 orals + MOH evaluation documentation; narrow network - OON PA requests denied in HMO,Express Scripts,NC-COM-AMBET,CoverMyMeds / Ambetter Portal,https://www.ambetter.com/,7 calendar days,72 hours,HB 434 applies - pending implementation,2026-01-11,ENRICHED
Ambetter,AMBET,OK,Centene,68069,5.0,COM,COM,Exchange presence,Express Scripts,OK-COM-AMBET,,,,,,,
Ambetter,AMBET,SC,Centene,68069,5.0,COM,COM,Exchange presence,Express Scripts,SC-COM-AMBET,,,,,,,
Ambetter,AMBET,TN,Centene,68069,8.0,COM,COM,Exchange presence,Express Scripts,TN-COM-AMBET,,,,,,,
Ambetter,AMBET,TX,Centene,68069,8.0,COM,COM,Exchange product; Qulipta/Nurtec Non-Preferred; subject to TX Gold Card (HB 3459/HB 3812) - TDI regulated fully insured,Express Scripts,TX-COM-AMBET,Portal,https://www.ambetterhealth.com/content/dam/centene/Superior/Ambetter/PDFs/SHP_202310184-HB3459-Provider-FAQ-P-508.pdf,7 days,72 hours,HB 3459 applies to fully insured TDI plans,2026-01-10,ENRICHED
Ambetter (Celtic),AMBET,AR,Centene,68069,10.0,COM,COM,Exchange market leader,Express Scripts,AR-COM-AMBET,,,,,,,
Ambetter (Celtic),AMBET,FL,Centene,68069,6.0,COM,COM,Exchange/ACA plan - separate from Medicaid formulary (more restrictive); follows Centene commercial guidelines not AHCA PDL,Express Scripts,FL-COM-AMBET,Ambetter Provider Portal,https://ambetter.sunshinehealth.com/providers/,7 calendar days,72 hours,Yes (SB 7016) - Active,2026-01-11,ENRICHED
AmeriHealth,AMERI,NJ,Independence Health Group,83030,8.0,COM,COM,Local challenger; dominant South Jersey + hospital integration (Cooper/Virtua); 'Select' drug formulary value-driven; aggressively steers to generics; often requires P2P for Tier 3 exceptions,Express Scripts,NJ-COM-AMERI,AmeriHealth Provider Portal,https://www.amerihealth.com/providers/,72 hours (A1825),24 hours (urgent),A1825 Step Therapy Override applies,2026-01-11,ENRICHED
Anthem (Elevance),ELEV,CO,Elevance Health,47198,20.0,COM,COM,Bifurcated formulary: 'National Direct' (large employers) vs 'Select' (individual/small group - MORE RESTRICTIVE); only 1 oral class required for CGRP (more lenient); Botox requires Topiramate/Divalproex specifically (not just any class); Vyepti requires 2 orals + 1 SC CGRP failure; Teratogenicity bypass = silver bullet,IngenioRx (Carelon),CO-COM-ELEV,Availity / Anthem Portal,https://www.anthem.com/provider/,7 calendar days,72 hours,HB 24-1149 ACTIVE - tracking approval rates,2026-01-11,ENRICHED
Anthem (Elevance),ELEV,NV,Elevance Health,47198,22.0,COM,COM,Carelon for medical benefit; may create 'Nevada Select' list excluding high-cost brands; 2 triptan/2 oral class step,IngenioRx (Carelon),NV-COM-ELEV,Availity/Anthem,https://www.anthem.com/,2 business days,24 hours,,2026-01-11,ENRICHED
Anthem (Elevance),ELEV,WI,Elevance Health,47198,22.0,COM,COM,AMA 2024 data - 2nd largest,IngenioRx (Carelon),WI-COM-ELEV,,,,,,,
Anthem Blue Cross,ANTHEMBC,CA,Elevance Health,47198,15.0,COM,COM,#2 commercial; major ASO market; Clinical UM Guidelines (CG-DRUG-XX); Emgality/Ajovy preferred; Aimovig non-preferred; combination ban (Botox+CGRP) unless refractory; CV exception for triptan bypass,IngenioRx (Carelon),CA-COM-ANTHEMBC,Portal,https://providers.anthem.com/docs/gpp/PHARM_ALL_Aimovig.pdf,7 days,72 hours,SB 306 - data calibration 2026; exemptions 2028,2026-01-10,ENRICHED
Avera Health Plans,AVERA,SD,Avera Health,AVERA,33.0,COM,COM,AMA 2024 - largest in state; provider-sponsored,Express Scripts,SD-COM-AVERA,,,,,,,
Blue Cross Blue Shield of Alabama,BCBSAL,AL,BCBSAL,510,86.0,COM,COM,⚠️ MONOPOLY - 9/10 patients; Prime Therapeutics PBM; Source+Rx 1.0/2.0 formulary; ⚠️ 'Consensus Agreement' with MASA: No AI Denial + quasi-Gold Card,Prime Therapeutics,AL-COM-BCBSAL,BCBSAL Portal,https://www.bcbsal.org/,Standard,Expedited,✓ Voluntary 'Consensus Agreement' Gold Card + No AI Denial,2026-01-11,ENRICHED
Blue Cross Blue Shield of Arizona,BCBSAZ,AZ,BCBSAZ,86052,24.0,COM,COM,Local control; Aimovig/Emgality preferred; Ajovy excluded; ⚠️ Dual Therapy Ban; headache diary requested; 80% Gold Card threshold,Prime Therapeutics,AZ-COM-BCBSAZ,BCBSAZ Portal,https://www.azblue.com/,Standard,Expedited,✓ Gold Card 80%,2026-01-11,ENRICHED
Blue Cross Blue Shield of Arkansas,BCBSAR,AR,Arkansas BCBS,71064,45.0,COM,COM,AMA 2024 - largest in state,Prime Therapeutics,AR-COM-BCBSAR,,,,,,,
Blue Cross Blue Shield of Kansas,BCBSKANSAS,KS,BCBSKS,23285,45.0,COM,COM,Dominant commercial; 103/105 counties; FEP carrier,Prime Therapeutics,KS-COM-BCBSKANSAS,Portal,https://www.bcbsks.com/documents/prior-authorization-required-drug-list,7 days,72 hours,Pending (HB 2292/HB 2387),2026-01-10,ENRICHED
Blue Cross Blue Shield of Massachusetts,MASSBCBS,MA,BCBSMA,139,35.0,COM,COM,Sets clinical standard; ⚠️ CRITICAL Policy 006 (Jan 1 2026) says 'CGRP inhibitors as option for first-line treatment' - CONTRADICTS Policy 021 step therapy; use Policy 006 to appeal step therapy denials; Preferred CGRPs = Ajovy/Emgality/Nurtec/Qulipta; Non-Preferred = Aimovig/Vyepti (must fail 2 Formulary CGRPs first); CCBs (Verapamil) COUNT as valid step,Prime Therapeutics,MA-COM-MASSBCBS,BCBSMA Provider Portal,https://www.bluecrossma.org/providers/,7 calendar days,72 hours,NO - H.4616 pending,2026-01-11,ENRICHED
Blue Cross Blue Shield of Michigan,MICHBCBS,MI,BCBSM,710,67.0,COM,COM,AMA 2024 - largest in state; highly concentrated,Prime Therapeutics,MI-COM-MICHBCBS,,,,,,,
Blue Cross Blue Shield of Minnesota,MINNBCBS,MN,BCBSMN,720,38.0,COM,COM,#1 Market Leader; Prime Therapeutics PBM; High stringency fail-first; Policy II-16-010 Botox requires ≥7 day reduction; CGRP dual therapy exclusion,Prime Therapeutics,MN-COM-MINNBCBS,Portal,https://securecms.bluecrossmnonline.com/content/medpolicy/en/minnesota/core/all/policies/Medicine/II-16/II-16-010.html,7 days,72 hours,None - MN has Platinum Card (§62M.07) instead,2026-01-10,ENRICHED
Blue Cross Blue Shield of Mississippi,MISSBCBS,MS,BCBSMS,10099,50.0,COM,COM,AMA 2024 - largest in state,Prime Therapeutics,MS-COM-MISSBCBS,,,,,,,
Blue Cross Blue Shield of Nebraska,NEBBCBS,NE,BCBSNE,10101,45.0,COM,COM,AMA 2024 - largest in state,Prime Therapeutics,NE-COM-NEBBCBS,,,,,,,
Blue Cross Blue Shield of North Carolina,NCARBCBS,NC,BCBSNC,56141,48.0,COM,COM,Dominant carrier; administers State Health Plan; operates Healthy Blue (Medicaid); Prime Therapeutics PBM; formularies: Enhanced/Essential/Net Results (highly restrictive); Carelon for some medical benefit management; biosimilar preference shifts aggressive; dual therapy allowed with refractory documentation eff Jan 1 2026,Prime Therapeutics,NC-COM-NCARBCBS,Availity / BCBS NC Portal,https://www.bluecrossnc.com/provider/,7 calendar days,72 hours,HB 434 applies - 80% threshold; providers should submit data Q1 2026,2026-01-11,ENRICHED
Blue Cross Blue Shield of North Dakota,NDAKBCBS,ND,BCBSND (Noridian),54384,48.0,COM,COM,AMA 2024 - largest in state,Prime Therapeutics,ND-COM-NDAKBCBS,,,,,,,
Blue Cross Blue Shield of Rhode Island,RIBCBS,RI,BCBSRI,36096,42.0,COM,COM,AMA 2024 - largest in state,Prime Therapeutics,RI-COM-RIBCBS,,,,,,,
Blue Cross Blue Shield of South Carolina,SCARBCBS,SC,BlueCross BlueShield of SC,71045,59.0,COM,COM,AMA 2024 - largest in state,Prime Therapeutics,SC-COM-SCARBCBS,,,,,,,
Blue Cross Blue Shield of Tennessee,TENBCBS,TN,BCBST,54828,42.0,COM,COM,AMA 2024 - largest in state,Prime Therapeutics,TN-COM-TENBCBS,,,,,,,
Blue Cross Blue Shield of Vermont,VERBCBS,VT,BCBSVT,28539,57.0,COM,COM,AMA 2024 - largest in state,CVS Caremark,VT-COM-VERBCBS,,,,,,,
Blue Cross Blue Shield of Wyoming,WYBCBS,WY,BCBSWY,83031,32.0,COM,COM,AMA 2024 data - 2nd largest,Prime Therapeutics,WY-COM-WYBCBS,,,,,,,
Blue Cross of Idaho,BCID,ID,Blue Cross of Idaho,82024,42.0,COM,COM,AMA 2024 - largest in state,Prime Therapeutics,ID-COM-BCID,,,,,,,
Blue Shield of California,BSCA,CA,Blue Shield of CA,88027,18.0,COM,COM,Non-profit; strong Covered CA presence; Value-Based Tiering; relaxed to 1 oral failure (vs 2) for CGRPs; Aimovig/Emgality preferred; Vyepti requires fail 2 SC CGRPs + Nurtec; Feb 2026 combination ban,Prime Therapeutics,CA-COM-BSCA,Portal,https://www.blueshieldca.com/bin/cms/bsca/services/portal/provider/StreamDocumentServlet?fileName=PRV_Aimovig_Ajovy_Emgality_COMMext.pdf,7 days,72 hours,SB 306 - data calibration 2026; exemptions 2028,2026-01-10,ENRICHED
Cambia Health Solutions (Regence),CAMBIA,OR,Cambia Health Solutions,93093,21.0,COM,COM,AMA 2024 - largest in state,Prime Therapeutics,OR-COM-CAMBIA,,,,,,,
CareFirst BlueCross BlueShield,CAREBCBS,DC,CareFirst Inc.,52123,22.0,COM,COM,AMA 2024 - largest in state,CVS Caremark,DC-COM-CAREBCBS,,,,,,,
CareFirst BlueCross BlueShield,CAREFIRST,MD,CareFirst Inc.,52123,43.0,COM,COM,⚠️ HB 820 AI Transparency mandate (Oct 2025); HB 932 90-day Continuity + electronic auto-approval by Jul 2026; Policy 11.01.003 (Botox) = 3 classes fail-first; CVS Caremark PBM; Preferred CGRPs = Aimovig/Emgality; Ajovy non-preferred; Zavzpret requires oral gepant failure too,CVS Caremark,MD-COM-CAREFIRST,CareFirst Portal,https://provider.carefirst.com/,Standard,Expedited,⚠️ Feasibility study mandated - no statute yet,2026-01-11,ENRICHED
Cigna,CIGNA,AZ,Cigna,62308,18.0,COM,COM,Express Scripts PBM; ⚠️ HEADACHE DIARY MANDATE (3mo); QL 8 tabs/30d; MOH denial risk,Express Scripts,AZ-COM-CIGNA,Cigna Portal,https://www.cigna.com/providers/,Standard,Expedited,Statutory,2026-01-11,ENRICHED
Cigna,CIGNA,AR,Cigna,62308,6.0,COM,COM,State filings estimate,Express Scripts,AR-COM-CIGNA,,,,,,,
Cigna,CIGNA,CO,Cigna,62308,15.0,COM,COM,'Value-Based' formulary (Standard 5-Tier); Express Scripts PBM with 365-day lookback for triptan claims; ⚠️ STRICTEST DURATION: ≥3 months per oral class (vs 6-8 weeks for others); MIDAS/HIT-6 scores explicitly referenced in policy - include specific scores; Dual Therapy (Botox+CGRP) highly restricted - frame as 'mechanistic augmentation' using AHS 2024,Express Scripts,CO-COM-CIGNA,Cigna Provider Portal,https://www.cigna.com/providers/,7 calendar days,72 hours,HB 24-1149 ACTIVE - statutory compliance required,2026-01-11,ENRICHED
Cigna,CIGNA,CT,Cigna,62308,12.0,COM,COM,Express Scripts; highly restrictive formulary; strict step therapy for acute gepants,Express Scripts,CT-COM-CIGNA,Cigna Portal,https://www.cigna.com/,Standard,Expedited,,2026-01-11,ENRICHED
Cigna,CIGNA,DE,Cigna,62308,6.0,COM,COM,State filings estimate,Express Scripts,DE-COM-CIGNA,,,,,,,
Cigna,CIGNA,DC,Cigna,62308,12.0,COM,COM,State filings estimate,Express Scripts,DC-COM-CIGNA,,,,,,,
Cigna,CIGNA,FL,Cigna,62308,10.0,COM,COM,State filings estimate,Express Scripts,FL-COM-CIGNA,,,,,,,
Cigna,CIGNA,GA,Cigna,62308,12.0,COM,COM,State filings estimate,Express Scripts,GA-COM-CIGNA,,,,,,,
Cigna,CIGNA,IL,Cigna,62308,6.0,COM,COM,State filings estimate,Express Scripts,IL-COM-CIGNA,,,,,,,
Cigna,CIGNA,IN,Cigna,62308,8.0,COM,COM,State filings estimate,Express Scripts,IN-COM-CIGNA,,,,,,,
Cigna,CIGNA,KS,Cigna,62308,10.0,COM,COM,State filings estimate,Express Scripts,KS-COM-CIGNA,,,,,,,
Cigna,CIGNA,MD,Cigna,62308,8.0,COM,COM,State filings estimate,Express Scripts,MD-COM-CIGNA,,,,,,,
Cigna,CIGNA,MO,Cigna,62308,15.0,COM,COM,State filings estimate,Express Scripts,MO-COM-CIGNA,,,,,,,
Cigna,CIGNA,NH,Cigna,62308,12.0,COM,COM,State filings estimate,Express Scripts,NH-COM-CIGNA,,,,,,,
Cigna,CIGNA,NJ,Cigna,62308,12.0,COM,COM,State filings estimate,Express Scripts,NJ-COM-CIGNA,,,,,,,
Cigna,CIGNA,NY,Cigna,62308,12.0,COM,COM,State filings estimate,Express Scripts,NY-COM-CIGNA,,,,,,,
Cigna,CIGNA,NC,Cigna,62308,10.0,COM,COM,Express Scripts integration drives pharmacy strategy; Emgality is primary preferred CGRP (must try before Aimovig/Ajovy); Zavzpret requires triptan + oral gepant failure; standard 2 oral class failures for preventive,Express Scripts,NC-COM-CIGNA,Cigna Provider Portal,https://www.cigna.com/providers/,7 calendar days,72 hours,HB 434 applies - pending implementation,2026-01-11,ENRICHED
Cigna,CIGNA,OH,Cigna,62308,8.0,COM,COM,State filings estimate,Express Scripts,OH-COM-CIGNA,,,,,,,
Cigna,CIGNA,SC,Cigna,62308,8.0,COM,COM,State filings estimate,Express Scripts,SC-COM-CIGNA,,,,,,,
Cigna,CIGNA,TN,Cigna,62308,15.0,COM,COM,Express Scripts; 'convenience' formulation exclusions (nasal sumatriptan unless GI documented); value-based focus,Express Scripts,TN-COM-CIGNA,Cigna Portal,https://www.cigna.com/,Standard,Expedited,,2026-01-11,ENRICHED
Cigna,CIGNA,TX,Cigna,62308,10.0,COM,COM,Express Scripts PBM; most restrictive exclusion lists; heavy rebate-driven formulary; biannual Gold Card notifications,Express Scripts,TX-COM-CIGNA,Portal,https://www.cigna.com/static/www-cigna-com/docs/texas-prior-authorization-exemption-legislation-faqs.pdf,7 days,72 hours,TX HB 3459 - biannual notifications,2026-01-10,ENRICHED
Cigna,CIGNA,UT,Cigna,62308,8.0,COM,COM,State filings estimate,Express Scripts,UT-COM-CIGNA,,,,,,,
Cigna,CIGNA,VT,Cigna,62308,10.0,COM,COM,State filings estimate,Express Scripts,VT-COM-CIGNA,,,,,,,
Cigna,CIGNA,VA,Cigna,62308,10.0,COM,COM,High frequency of 'Lack of Information' denials - focuses on diagnosis validation; ⚠️ 3-MONTH trial duration for oral preventives (longest); Emgality NON-PREFERRED (requires step through Aimovig/Ajovy); Qulipta more accessible than Sentara (no injectable step),Express Scripts,VA-COM-CIGNA,Cigna Provider Portal,https://www.cigna.com/providers/,7 calendar days,72 hours,HB 2099 Gold Card - DATA COLLECTION 2026,2026-01-11,ENRICHED
Cigna,CIGNA,WV,Cigna,62308,8.0,COM,COM,State filings estimate,Express Scripts,WV-COM-CIGNA,,,,,,,
Cigna,CIGNA,WY,Cigna,62308,40.0,COM,COM,AMA 2024 - largest in state,Express Scripts,WY-COM-CIGNA,,,,,,,
Community Health Options,COMMHEALTH,ME,Maine Health Management Coalition,MHMC1,6.0,COM,COM,CO-OP plan,Express Scripts,ME-COM-COMMHEALTH,,,,,,,
CommunityCare,COMMCARE,OK,CommunityCare,CCARE,8.0,COM,COM,Regional carrier,CVS Caremark,OK-COM-COMMCARE,,,,,,,
ConnectiCare,CTCARE,CT,EmblemHealth,13551,5.0,COM,COM,Regional carrier,Express Scripts,CT-COM-CTCARE,,,,,,,
Dean Health Plan,DEAN,WI,Quartz,39065,10.0,COM,COM,Vertically integrated; South Central WI; 2 triptan / 2 oral class (3 for Botox); Nurtec/Ubrelvy preferred; Emgality/Aimovig preferred,CVS Caremark,WI-COM-DEAN,Dean Portal,https://www.deancare.com/,Standard,Expedited,,2026-01-11,ENRICHED
Elevance Health (Anthem),ELEV,CT,Elevance Health,47198,37.0,COM,COM,AMA 2024 - largest in state,IngenioRx (Carelon),CT-COM-ELEV,,,,,,,
Elevance Health (Anthem),ELEV,GA,Elevance Health,47198,33.0,COM,COM,Administers State Health Benefit Plan (SHBP) covering state employees/teachers/retirees (high migraine demographic); uses Carelon Medical Benefits Management for specialty drug UM; step therapy may exceed clinical guidelines; dual therapy (Botox+CGRP) classified as 'duplicative' - requires appeal,IngenioRx (Carelon),GA-COM-ELEV,Availity / CarelonRx Portal,https://www.anthem.com/provider/,7 calendar days,72 hours,SB 5 Applies - Implementation Jan 1 2026; full compliance July 1 2026; 90% threshold,2026-01-11,ENRICHED
Elevance Health (Anthem),ELEV,IN,Elevance Health,47198,56.0,COM,COM,AMA 2024 - largest in state (HQ),IngenioRx (Carelon),IN-COM-ELEV,,,,,,,
Elevance Health (Anthem),ELEV,KY,Elevance Health,47198,67.0,COM,COM,AMA 2024 - largest in state; highly concentrated,IngenioRx (Carelon),KY-COM-ELEV,,,,,,,
Elevance Health (Anthem),ELEV,ME,Elevance Health,47198,43.0,COM,COM,AMA 2024 - largest in state,IngenioRx (Carelon),ME-COM-ELEV,,,,,,,
Elevance Health (Anthem),ELEV,MO,Elevance Health,47198,29.0,COM,COM,AMA 2024 - largest in state,IngenioRx (Carelon),MO-COM-ELEV,,,,,,,
Elevance Health (Anthem),ELEV,NH,Elevance Health,47198,48.0,COM,COM,AMA 2024 - largest in state | DEPRECATED 2026-02-06: Duplicate of NH-COM-ANTHEM,IngenioRx (Carelon),NH-COM-ELEV,,,,,,,DEPRECATED — Merged into NH-COM-ANTHEM
Elevance Health (Anthem),ELEV,OH,Elevance Health,47198,31.0,COM,COM,CarelonRx PBM - electronic step therapy auto-denies if no triptan claims in 180 days; Emgality/Aimovig preferred; Qulipta requires injectable CGRP failure OR needle phobia documentation; only payer that sometimes requires just 1 oral failure for commercial,IngenioRx (Carelon),OH-COM-ELEV,Availity / Anthem Portal,https://www.anthem.com/provider/,7 calendar days,72 hours,,2026-01-11,ENRICHED
Elevance Health (Anthem),ELEV,VA,Elevance Health,47198,43.0,COM,COM,Market hegemon; Carelon Medical Benefits Management for UM; national policies with local network riders; rigorous step therapy for CGRPs driven by rebate yield from older generics; specific side-effect-based contraindications required for bypasses,IngenioRx (Carelon),VA-COM-ELEV,Availity / Anthem Portal,https://www.anthem.com/provider/,7 calendar days,72 hours,HB 2099 Gold Card - DATA COLLECTION 2026 (exemptions begin Jan 1 2027); 90% threshold,2026-01-11,ENRICHED
EmblemHealth,EMBLEM,NY,EmblemHealth,13551,10.0,COM,COM,Covers almost all City of NY employees (municipal workers; teachers; police) via GHI CBP; transitioning to NYC Employees PPO (NYCE PPO) eff 1/1/2026 with UHC partnership; may align with stricter UHC guidelines,Express Scripts,NY-COM-EMBLEM,EmblemHealth Provider Portal,https://www.emblemhealth.com/providers/,7 calendar days,72 hours,Pending (S7470 not codified),2026-01-11,ENRICHED
