Age_Range,Medication_Name,RxNorm_ID,Pediatric_FDA_Approval_Status,FDA_Approved_Age_Minimum,Pediatric_Chronic_Migraine_Threshold,Pediatric_Dosing_Rule,Age_Specific_Contraindications,Off_Label_Authority,Pediatric_Step_Therapy_Variation,Pediatric_Formulary_Notes,Pediatric_Prior_Auth_Pathway,Ref_Medication_Database_B,Data_Source,Gap_Status,Last_Updated,Notes
12-17,Rizatriptan (Maxalt),199890,Yes,6,N/A - Acute treatment,"Age 12-17: 5mg or 10mg orally or ODT; same weight-based guidance as younger children though most adolescents qualify for 10mg; may repeat after 2 hours","Same triptan contraindications; propranolol interaction (reduce rizatriptan to 5mg if on propranolol); serotonin syndrome risk with SSRIs/SNRIs commonly used in adolescents","N/A - FDA approved for age 6+","Standard first-line triptan; required before gepants in most step therapy protocols","All payers: Preferred; generic. Medicaid: Preferred. CHIP: Preferred","Minimal PA barriers",Rizatriptan/Maxalt,FDA Label: https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020864s018lbl.pdf,✓ Complete,1/11/2026,"ODT formulation helpful for adolescents with nausea; propranolol interaction relevant if on both for acute + preventive"
12-17,Almotriptan (Axert),283528,Yes,12,N/A - Acute treatment,"Age 12-17: 6.25mg or 12.5mg oral; may repeat after 2 hours if needed; maximum 25mg/24 hours","Standard triptan contraindications; generally well-tolerated in adolescents; serotonin syndrome risk","N/A - FDA approved for age 12+","Step therapy equivalent to other triptans; may be tried if sumatriptan/rizatriptan ineffective","Most payers: Tier 2; brand may have higher copay than generic sumatriptan. Medicaid: Variable coverage","Standard triptan PA if required; document prior triptan response",Almotriptan/Axert,FDA Label: https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021001s015lbl.pdf,✓ Complete,1/11/2026,"Less commonly prescribed than sumatriptan/rizatriptan; reasonable second-line triptan option"
12-17,Zolmitriptan Nasal Spray (Zomig),199898,Yes,12,N/A - Acute treatment,"Age 12-17: 2.5mg or 5mg intranasal; may repeat after 2 hours; maximum 10mg/24 hours","Standard triptan contraindications; MAO-A inhibitor contraindication (avoid within 2 weeks); serotonin syndrome risk","N/A - FDA approved for age 12+","Alternative nasal triptan to sumatriptan; may be preferred if sumatriptan nasal ineffective","Variable coverage; brand name; sumatriptan nasal often required first. Medicaid: Variable","May require PA documenting sumatriptan nasal failure",Zolmitriptan/Zomig,FDA Label: https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021014s010lbl.pdf,✓ Complete,1/11/2026,"Alternative nasal option; helpful if sumatriptan causes side effects"
12-17,Topiramate (Topamax),199435,Yes,12,"≥15 headache days/month + ≥8 migraine days for ≥3 months OR ≥4 migraine days/month (episodic prevention)","Age 12-17: Start 25mg daily, titrate by 25mg weekly to target 50-100mg/day in 2 divided doses; maximum 200mg/day; slower titration reduces cognitive side effects","⚠️ CRITICAL: FDA Black Box for birth defects (cleft lip/palate). Age 12-17 females: Mandatory contraception counseling; document pregnancy test if sexually active. Nephrolithiasis risk; metabolic acidosis; cognitive slowing ('dopamax'); weight loss; paresthesias; acute myopia/glaucoma (rare)","N/A - FDA approved for migraine prevention age 12+","First-line oral preventive for step therapy; 8-week trial typically required before CGRP; some payers accept 4 weeks if adverse event","All payers: Preferred; generic. Medicaid: Preferred. CHIP: Preferred. No PA typically required for generic","Minimal PA for generic; document titration and target dose",Topiramate/Topamax,"FDA Label: https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020844s067lbl.pdf; 2024 AHS Consensus",✓ Complete,1/11/2026,"⚠️ Teratogenicity is PRIMARY concern for females 12-17; cognitive effects may impact school performance - document and consider alternatives if grades declining"
6-11,Topiramate (Topamax),199434,Off-Label,12,"≥4 migraine days/month for ≥3 months; or clinician judgment for episodic prevention in younger children","Age 6-11: Start 0.5-1mg/kg/day, titrate weekly to 2-3mg/kg/day divided BID; maximum typically 3-6mg/kg/day (weight-based dosing critical)","Same as adolescent: teratogenicity (less relevant but counsel if approaching puberty); nephrolithiasis; metabolic acidosis; cognitive effects may impact learning; weight loss concerning if underweight; paresthesias","Off-label for age <12 but commonly used; 2024 AHS Consensus: 'Topiramate has demonstrated efficacy in pediatric migraine prevention trials and remains a first-line option despite off-label status in younger children.'","Off-label may require additional documentation; 1 triptan trial often required first; 4-8 week trial","Most payers cover despite off-label; generic preferred. Medicaid: Usually covered. CHIP: Usually covered with documentation","May require PA with weight documentation and dose calculation; Medical Necessity Letter if denied initially",Topiramate/Topamax,"FDA Label; 2024 AHS Consensus; Pediatric migraine prevention RCTs (see Powers 2017)",Pending Payer Verification,1/11/2026,"Weight-based dosing critical; monitor growth and cognitive function; less concern for teratogenicity but counsel approaching puberty"
12-17,Propranolol,198189,Off-Label,N/A,"≥15 headache days/month + ≥8 migraine days (chronic) OR ≥4 days/month (episodic prevention)","Age 12-17: Start 10-20mg BID or TID, titrate to 40-160mg/day in divided doses based on response and tolerability; target heart rate reduction ~10-15%","Asthma/COPD: CONTRAINDICATED (beta-blocker bronchospasm); bradycardia; hypotension; diabetes (masks hypoglycemia); depression (may worsen); heart block; Raynaud's phenomenon; ⚠️ Drug interaction: Reduces rizatriptan clearance - limit rizatriptan to 5mg if on propranolol","Off-label for pediatric migraine but extensive clinical experience; 2024 AHS Consensus lists propranolol as first-line oral preventive option; multiple pediatric studies support efficacy","First-line oral preventive; 8-week trial typically required before CGRP; contraindication documentation bypasses step therapy","Most payers: Preferred; generic. Medicaid: Preferred. CHIP: Preferred. Rarely requires PA","Minimal PA; document contraindications if present (asthma = automatic bypass)",Propranolol,"Off-label but supported by AAP, AHS, AAN guidelines; extensive pediatric safety data",✓ Complete,1/11/2026,"Asthma contraindication is common bypass for beta-blocker step; rizatriptan interaction important to document"
12-17,Amitriptyline,199456,Off-Label,N/A,"≥15 headache days/month + ≥8 migraine days (chronic) OR ≥4 days/month (episodic prevention); also used for mixed headache disorders","Age 12-17: Start 10mg at bedtime, titrate by 10mg weekly to 25-75mg nightly; some adolescents may require 100mg; give at bedtime for sedation benefit","Cardiac conduction abnormalities (obtain ECG if >50mg); anticholinergic effects (constipation, dry mouth, urinary retention); sedation; weight gain; ⚠️ Suicidality Black Box warning for antidepressants in <25; overdose risk (tricyclic toxicity); avoid with MAOIs","Off-label for migraine but commonly used; 2024 AHS Consensus: 'Tricyclic antidepressants remain a mainstay of pediatric migraine prevention'; particularly useful in comorbid depression/anxiety/insomnia","First-line oral preventive option; 8-week trial before CGRP; often preferred if insomnia or comorbid depression/anxiety","Most payers: Preferred; generic. Medicaid: Preferred. CHIP: Preferred. Mental health indication may ease coverage","Minimal PA; mental health comorbidity strengthens justification",Amitriptyline,"Off-label but supported by AHS, AAP guidelines; CHAMP trial data",✓ Complete,1/11/2026,"⚠️ Suicidality Black Box important to discuss with families; ECG recommended if higher doses; sedation useful for sleep-disrupted adolescents"
12-17,Qulipta (Atogepant),2611140,Off-Label,18,"≥15 headache days/month + ≥8 migraine days for ≥3 months (uses adult chronic criteria)","Age 12-17: 10mg, 30mg, or 60mg once daily (uses adult dosing; no pediatric adjustment established); start 60mg for episodic, consider 30mg for chronic","Hepatic impairment requires dose adjustment; avoid strong CYP3A4 inhibitors/inducers; constipation common; counsel females on contraception","Off-label; limited pediatric data; 2024 AHS Consensus mentions oral CGRP antagonists as options but primarily references adult data; Phase 3 pediatric trials ongoing","Off-label: May require failure of injectable CGRP mAbs first in some payer protocols; or documented injection phobia","Rarely covered for <18; requires strong documentation. UHC: Exception only. Anthem: Not covered <18. Medicaid: Generally not covered for peds","Off-label PA: Medical Necessity Letter + injectable CGRP failure or injection phobia (DSM-5 documented) + headache diary",Atogepant/Qulipta,"FDA Label (adult): https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215206s003lbl.pdf; 2024 AHS Consensus; ClinicalTrials.gov pediatric studies",Missing,1/11/2026,"Oral alternative to injectable CGRPs; useful for needle-phobic adolescents; but coverage extremely difficult to obtain for <18; pediatric trials ongoing"
12-17,Vyepti (Eptinezumab),2373120,Not Approved for <18,18,"Not applicable for routine pediatric use; would require chronic migraine diagnosis if used off-label","Not applicable for routine pediatric use; if used off-label: 100mg IV infusion quarterly (adult dosing)","No pediatric-specific contraindications identified; if used off-label: standard hypersensitivity precautions; IV administration requires clinic/infusion center","Off-label; 2024 AHS Consensus does NOT specifically recommend IV CGRP mAbs for pediatrics; mentions 'injectable' options but focuses on SC agents. Limited pediatric data.","Not recommended for routine use; would require failure of ALL SC CGRP mAbs + documented reason for IV preference (e.g., severe injection phobia, SC site reactions)","Not covered for <18 on any major formulary. Exception requires extensive documentation and is rarely granted.","Exceptional circumstances only: (1) Failure of ALL approved alternatives (Aimovig, Ajovy, Emgality), (2) Neurologist + Pediatric Specialist co-signature, (3) Detailed Medical Necessity Letter, (4) Documented injection phobia or SC failure reason",Eptinezumab/Vyepti,"FDA Label (adult only): https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761119s003lbl.pdf; 2024 AHS Consensus",Missing,1/11/2026,"NOT recommended for 2026 platform launch in pediatric database; use of Vyepti in <18 would be highly controversial; defer to SC CGRP mAbs"
12-17,Botox (OnabotulinumtoxinA),199422,Off-Label,18,"≥15 headache days/month + ≥8 migraine days for ≥3 months (strict chronic migraine criteria required; would not use for episodic in pediatrics)","Age 12-17: 155-195 units per treatment cycle following PREEMPT protocol (31-39 injection sites); same as adult; performed by trained specialist only","Infection at injection sites; myasthenia gravis or Lambert-Eaton (contraindicated); neuromuscular disorders; hypersensitivity to botulinum toxin; pregnancy (inadequate data)","Off-label for <18 chronic migraine; 2024 AHS Consensus: 'OnabotulinumtoxinA should be considered for adolescents with chronic migraine who have failed multiple preventive trials, particularly when oral medications are poorly tolerated.' Limited pediatric RCT data but case series support efficacy.","Off-label: Requires failure of ≥2 oral preventive classes AND ≥1 CGRP mAb in most protocols; some payers require 3-class oral failure","Rarely covered for <18; Medical Benefit (J0585). Medicaid: Case-by-case. Commercial: Requires extensive prior failures. CHIP: Generally not covered.","Off-label pathway: (1) Chronic migraine dx verified (15/8 strict), (2) Documented failure of ≥2 oral classes + ≥1 CGRP, (3) Medical Necessity Letter from pediatric neurologist, (4) May require peer-to-peer",OnabotulinumtoxinA/Botox,"FDA Label (adult chronic migraine): https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103000s5318lbl.pdf; 2024 AHS Consensus; LCD L35172 (Noridian)",Pending Payer Verification,1/11/2026,"Reserved for refractory chronic migraine in adolescents; requires pediatric headache specialist; MAC LCDs technically apply to adult indication but clinical evidence supports adolescent use"
6-11,Valproate/Divalproex (Depakote),199396,Off-Label,N/A,"≥4 migraine days/month for ≥3 months; off-label for pediatric migraine prevention","Age 6-11: Start 5-10mg/kg/day divided BID, titrate to 15-45mg/kg/day; monitor levels (50-100 mcg/mL therapeutic range)","⚠️⚠️ FDA BLACK BOX - HEPATOTOXICITY: Children <2 at highest risk; liver function monitoring mandatory. ⚠️⚠️ FDA BLACK BOX - TERATOGENICITY: Neural tube defects, decreased IQ in offspring. ⚠️ Pancreatitis risk. Thrombocytopenia. Weight gain. Tremor. Hair loss.","Off-label; 2024 AHS mentions valproate as historical option but notes: 'Given teratogenic concerns and alternative options, valproate is generally not first-line for pediatric migraine prevention, particularly in females approaching childbearing age.'","Due to Black Box warnings, should NOT be used as step therapy requirement; if payer requires, document contraindication concerns","Variable coverage; often covered but not recommended first-line. Consider alternatives (topiramate, propranolol, CGRP)","If used: Requires LFT monitoring documentation; consent for teratogenicity counseling; weight monitoring",Valproate/Depakote,FDA Label: https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/018081s078lbl.pdf,Conflicting Sources,1/11/2026,"⚠️⚠️ NOT RECOMMENDED for females of any age due to teratogenicity. Hepatotoxicity risk highest in young children. Prefer alternatives. If used, extensive monitoring required."
12-17,Valproate/Divalproex (Depakote),199397,Off-Label,N/A,"≥15 headache days/month + ≥8 migraine days (chronic) OR ≥4 days/month (episodic)","Age 12-17: Start 250mg BID, titrate to 500-1500mg/day divided BID based on levels and response; target trough 50-100 mcg/mL","⚠️⚠️⚠️ FEMALES 12-17: DO NOT USE UNLESS NO ALTERNATIVES AND STRICT CONTRACEPTION IN PLACE. FDA Black Box for teratogenicity (neural tube defects, decreased IQ, autism risk). Hepatotoxicity (less risk than <2 but still present). Pancreatitis. PCOS risk. Weight gain. Thrombocytopenia.","Off-label for migraine; 2024 AHS Consensus explicitly cautions: 'Valproate should be avoided in females of childbearing potential unless no suitable alternative exists AND reliable contraception is confirmed.' ACOG recommends against valproate in women who may become pregnant.","DO NOT use as step therapy requirement for females 12-17; document teratogenicity concern as bypass. For males, may be used but alternatives preferred.","Variable coverage; often covered. STRONG RECOMMENDATION: Do not prescribe for females 12-17 due to teratogenicity.","If used in males: Standard PA. If used in females: Requires pregnancy test, documented contraception, extensive counseling documentation",Valproate/Depakote,"FDA Label; 2024 AHS Consensus; ACOG Guidelines",Conflicting Sources,1/11/2026,"⚠️⚠️⚠️ PLATFORM SHOULD FLAG THIS DRUG FOR FEMALES 12-17. Teratogenicity is disqualifying for most cases. Use topiramate or CGRP instead."
