Vault_Denial_Code,Denial_Reason,Winning_Clinical_Phrases_Universal,Source_Authority,Evidence_Citation,Clinical_Scenario,Bypass_Mechanism,Medications_Applicable,Usage_Notes,Statutory_Blurbs_State_Specific,State
DENY-GOLD-001,Gold Card Exemption - Provider Qualifies for PA Waiver,"Pursuant to [STATE STATUTE], this practice has achieved a prior authorization approval rate exceeding 90% for the requested service/medication class over the preceding evaluation period. The provider is therefore exempt from prior authorization requirements under the state's Gold Card law. This request should be processed without PA review. Denial of this claim constitutes a violation of state insurance law.",State Gold Card Statutes,TX HB 3459 | WV HB 4102 | ND SB 2280 | VT Act 111 | AR Act 575 | GA SB 5 | WY W.S. § 26-55-112,Provider meets Gold Card threshold; asserting exemption from PA,Gold Card / PA Exemption Statute,All medications where provider has demonstrated 90%+ approval rate,"Document provider approval rate data. Note: Many states EXCLUDE pharmacy benefits from Gold Card (WY, AR, MO). Check state-specific exclusions before asserting.","TX: 'Pursuant to Texas Insurance Code § 4201.659 (HB 3459), this provider has achieved Gold Card status with >90% approval rate and is exempt from PA for this service.' | WV: 'Pursuant to West Virginia HB 4102, this provider qualifies for Gold Card exemption.' | ND: 'Pursuant to North Dakota SB 2280, Gold Card exemption is asserted.' | VT: 'Pursuant to Vermont Act 111, this provider is exempt from PA requirements.' | GA: 'Pursuant to Georgia SB 5, Gold Card exemption applies.'","TX,WV,ND,VT,AR,GA,WY,PA,CA,DE,MN"
DENY-GOLD-002,Gold Card Pharmacy Exclusion - Medical Benefit Exception,"While [STATE] Gold Card law excludes pharmacy benefit drugs, this request is for a MEDICAL BENEFIT service (J-code administration). The Gold Card exemption applies to medical services and procedures. This Botox administration (J0585) or Vyepti infusion (J3032) qualifies for Gold Card exemption under the medical benefit carve-out.",State Gold Card Statutes with Pharmacy Exclusions,WY W.S. § 26-55-112 | AR Act 575 | MO HB 618,Provider asserting Gold Card for medical benefit J-code when pharmacy is excluded,Medical Benefit J-Code Exception to Pharmacy Exclusion,"OnabotulinumtoxinA (Botox J0585), Eptinezumab (Vyepti J3032), IV infusion services",Use in states where Gold Card explicitly excludes pharmacy but provider qualifies for medical services. Focus on administration codes (CPT 64615) and drug J-codes.,"WY: 'Per W.S. § 26-55-112, pharmacy benefits are excluded from Gold Card. However, this medical benefit administration (J0585/CPT 64615) qualifies for exemption.' | AR: 'Per Act 575, Gold Card applies to medical PAs; this J-code service qualifies.'","WY,AR,MO"
DENY-TIME-001,Deemed Approved - Statutory Timeline Violation,"Pursuant to [STATE STATUTE], the statutory window for prior authorization determination has lapsed. This PA request was submitted on [DATE/TIME] - see attached timestamp. Under state law, failure to render a timely decision results in the request being 'deemed approved' by operation of law. We are proceeding with treatment and expect payment in full. Denial of this claim will result in a complaint filed with the state Insurance Department.",State PA Timeline Statutes,NH SB 561 | MS SB 2140 | NE LB 77 | OK HB 3190,Payer failed to respond within statutory timeframe; asserting automatic approval,Deemed Approved / Auto-Approval on Timeline Violation,All medications subject to PA,Document exact submission timestamp and statutory deadline. File complaint with state Insurance Department if payer disputes.,"NH: 'Pursuant to NH RSA 420-J:7-b (SB 561), pharmacy PA decisions must be rendered within 2 business days. This deadline has passed. The drug is deemed approved by operation of law.' | MS: 'Pursuant to MS Code § 83-9-6.3 (SB 2140), this PA is deemed authorized after [2 biz days pharma / 7 days medical].' | NE: 'Pursuant to Nebraska LB 77, the 72-hour urgent decision window has lapsed.' | OK: 'Pursuant to Oklahoma HB 3190, failure to respond within 72 hours for urgent requests deems the service authorized.'","NH,MS,NE,OK"
DENY-SPEC-001,Specialty Reviewer Requirement - Invalid Denial,"Pursuant to [STATE STATUTE], an adverse determination based on medical necessity must be made by a clinical peer in the same or similar specialty as the prescribing provider. The reviewer who issued this denial does not hold board certification in Neurology or Headache Medicine. This determination is procedurally invalid. We demand immediate reversal or review by a board-certified Neurologist.",State Specialty Reviewer Statutes,NH RSA 420-J | MT HB 399 | IN SB 480 | AL 'No AI Denial' policy,Denial issued by non-specialty reviewer; challenging procedural validity,Specialty Reviewer / Clinical Peer Requirement,All migraine medications requiring specialist knowledge,"Request copy of reviewer credentials. If reviewer is Family Medicine, Pediatrics, or General IM - not Neurology - challenge is valid.","NH: 'This determination violates NH RSA 420-J by failing to utilize a statutorily required clinical peer. We demand immediate reversal or review by a board-certified Neurologist.' | MT: 'Pursuant to Montana HB 399, Section 1(2), an adverse determination must be made by a physician whose specialty focuses on the diagnosis and treatment of the condition. The reviewer does not hold board certification in Neurology. This determination is procedurally invalid.' | IN: 'Pursuant to Indiana SB 480, peer review must be conducted by same specialty.' | AL: 'Pursuant to Alabama Insurance Department policy, denials based solely on AI/algorithmic review without physician oversight are invalid.'","NH,MT,IN,AL,NE"
DENY-CONT-001,Continuity of Care - Plan Transition Protection,"Pursuant to [STATE STATUTE], the insurer is statutorily mandated to honor the prior authorization granted by [Previous Insurer] for a minimum of 90 days during plan transition. The patient is stable on this therapy and has been receiving it under continuous prior authorization. Discontinuation or demand for step therapy restart constitutes a violation of state law regarding continuity of care for patients in an active course of treatment.",State Continuity of Care Statutes,MT SB 449 | ME 24-A MRSA §4304-B | VT Act 111 | WY statute | AR Act 97,Patient switching plans; previous PA should be honored,Continuity of Care / Plan Transition Protection,All medications with active PA from previous plan,Obtain copy of previous PA approval letter. Submit Continuity of Care request BEFORE first refill needed under new plan.,"MT: 'Pursuant to Montana SB 449 (2025), the insurer must honor the prior authorization granted by [Previous Insurer] for 90 days minimum.' | ME: 'Pursuant to Maine 24-A MRSA §4304-B, the carrier cannot restrict coverage for this prescription approved by the previous carrier for at least 90 days.' | VT: 'Pursuant to Vermont Act 111, new insurer must honor previous approval for 90 days if patient is stable.' | AR: 'Pursuant to Arkansas Act 97, step therapy from previous plan must be honored; cannot restart step therapy.'","MT,ME,VT,WY,AR,OK,MS,AK"
DENY-HEMI-001,Hemiplegic/Basilar Migraine - Triptan Contraindication,Patient has diagnosis of hemiplegic migraine (G43.4) or migraine with brainstem aura/basilar migraine (G43.1). Triptans are CONTRAINDICATED in these migraine subtypes per FDA labeling due to theoretical risk of stroke. This contraindication is absolute and not subject to step therapy override. Gepants (Nurtec/Ubrelvy) or ditans (Reyvow) are medically necessary as first-line acute treatment.,FDA Triptan Labels | AHS Consensus 2021,All triptan FDA package inserts contain hemiplegic/basilar contraindication,Patient with hemiplegic or basilar migraine requesting gepant/ditan without triptan trial,Absolute Contraindication - Hemiplegic/Basilar Migraine,"Rimegepant (Nurtec ODT), Ubrogepant (Ubrelvy), Lasmiditan (Reyvow)","ICD-10: G43.4 (Hemiplegic migraine), G43.1 (Migraine with aura). Document migraine subtype in chart. This is an ABSOLUTE bypass - no triptan trial should ever be attempted.",,ALL
DENY-SERO-001,Serotonin Syndrome Risk - Triptan Contraindication with SSRIs/SNRIs,"Patient is currently prescribed [SSRI/SNRI medication] for [indication]. Per FDA Drug Safety Communication, concomitant use of triptans with SSRIs or SNRIs may result in serotonin syndrome, a potentially life-threatening condition. Given patient's psychiatric medication regimen, gepants (which have no serotonergic activity) are medically necessary as the safer acute migraine treatment option.",FDA Drug Safety Communication 2006 | AHS Consensus,FDA Drug Safety Communication: Combined Use of 5-HT1 Receptor Agonists (Triptans) and SSRIs/SNRIs,Patient on SSRI/SNRI requesting gepant to avoid serotonin syndrome risk,Serotonin Syndrome Risk Bypass,"Rimegepant (Nurtec ODT), Ubrogepant (Ubrelvy)","Document current SSRI/SNRI: fluoxetine, sertraline, paroxetine, escitalopram, duloxetine, venlafaxine, etc. Note: FDA warning is for combination; clinical risk is debated but provides valid bypass argument.",,ALL
DENY-SWITCH-001,Non-Medical Switching Defense - Stable Patient,"Patient is stable on [current medication] and has achieved therapeutic benefit. Switching a patient who has achieved therapeutic stability on a specific CGRP monoclonal antibody solely for non-medical (formulary) reasons is clinically inadvisable and may result in rebound disability. Per AHS 2024 Consensus, non-medical switching of stable migraine patients is not recommended and may constitute a coverage violation under state continuity of care protections.",AHS Consensus 2021 | State Continuity Statutes,Ailani J et al. Headache. 2021;61(7):1021-1039. | NH Harvard Pilgrim Ajovy scenario,Payer requiring switch from effective medication to formulary alternative,Non-Medical Switching / Therapeutic Stability Defense,All CGRP mAbs (Aimovig/Ajovy/Emgality switching scenarios),"Document: (1) Duration on current therapy, (2) Response metrics (headache day reduction, MIDAS/HIT-6), (3) Stability statement. Use MOA argument if switching between receptor blocker (Aimovig) and ligand binders (Ajovy/Emgality).","NH (Harvard Pilgrim Ajovy): 'Patient is stable on Fremanezumab, which targets the CGRP ligand. The preferred alternative, Erenumab (Aimovig), targets the receptor. These are pharmacologically distinct mechanisms. Switching a stable responder from a ligand-binder to a receptor-blocker carries documented risk of loss of efficacy.'","NH,ALL"
DENY-NEEDLE-001,Needle Phobia / Dexterity Impairment - Vyepti Medical Necessity,"Patient has documented needle phobia (DSM-5 Specific Phobia, Blood-Injection-Injury Type) or dexterity/cognitive impairment preventing self-injection. The preferred self-injectable CGRP mAbs (Aimovig, Ajovy, Emgality) are not feasible administration routes for this patient. Intravenous administration via Vyepti (eptinezumab) is medically necessary as an ADA/Section 1557 accommodation to ensure equitable access to CGRP-targeting therapy.",AHS Consensus 2021 | ADA/Section 1557,Ailani J et al. Headache. 2021;61(7):1021-1039.,Patient cannot self-inject; requesting Vyepti instead of SC CGRP mAbs,Needle Phobia / Dexterity Accommodation,Eptinezumab (Vyepti),"Document DSM-5 diagnosis of Specific Phobia (Blood-Injection-Injury type) or document dexterity impairment (arthritis, tremor, cognitive impairment). Consider also: severe injection site reactions to SC formulations.",,ALL
DENY-QL-001,Quantity Limit Override - High-Frequency Episodic Migraine,"Patient has high-frequency episodic migraine (≥8 migraine days/month) requiring acute treatment beyond standard quantity limits. The current limit of [X] doses per month is insufficient for clinical management. Restricting acute medication access increases risk of inadequate pain control, emergency department utilization, and progression to chronic migraine. Per ICHD-3, high-frequency episodic migraine (8-14 days/month) requires more aggressive acute management.",ICHD-3 Criteria | AHS Consensus 2021,ICHD-3 Section 1.1 | Ailani J et al. Headache. 2021,Patient needs more acute doses than standard QL allows,Quantity Limit Override for High-Frequency Migraine,"Sumatriptan, Rizatriptan, Ubrelvy, Nurtec ODT",Document monthly migraine frequency from headache diary. Standard QLs: Ubrelvy 16/30d; Nurtec 8/30d (acute). Override arguments: menstrual migraine requiring multi-day dosing; cluster-like features.,,ALL
DENY-PED-001,Pediatric First-Line CGRP - Age-Appropriate Step Therapy,"Patient is a minor (age [X]) with migraine. Per 2024 AHS Consensus and FDA pediatric approval, CGRP monoclonal antibodies (Aimovig, Ajovy, Emgality) are approved for patients age 6 and older. Pediatric step therapy requirements should be reduced (1 oral preventive class vs adult 2) given developmental considerations and the importance of early effective treatment to prevent chronic migraine evolution. Trial duration of 4-8 weeks (vs adult 8 weeks) is clinically appropriate for pediatric patients.",AHS Consensus 2024 | FDA Pediatric Labels,FDA pediatric approvals 2023 | AHS Consensus pediatric section,Pediatric patient (6-17) requesting CGRP mAb with reduced step therapy,Pediatric-Specific Step Therapy Reduction,"Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality)","Age 6-11: 1 oral preventive class failure (4-8 weeks); Age 12-17: May use adult criteria or reduced per payer. Document weight for dosing (Aimovig: 70mg if <60kg, 140mg if ≥60kg for age 12-17).",,ALL
DENY-PED-002,Pediatric Off-Label Gepant - AHS-Supported Use,"Patient is an adolescent (age 12-17) with migraine and documented contraindication to or failure of triptans. While gepants (Nurtec ODT, Ubrelvy) are FDA-approved for adults only, the 2024 AHS Consensus Statement supports their use in adolescents: 'Oral CGRP receptor antagonists are recommended as acute migraine treatment options. Clinical evidence supports use in adolescents when triptans are contraindicated or ineffective.' Off-label use is clinically appropriate and supported by major headache society guidelines.",AHS Consensus 2024,"AHS Consensus Statement 2024, Pediatric Section",Adolescent patient (12-17) requesting gepant off-label,Off-Label Gepant with AHS Support,"Rimegepant (Nurtec ODT), Ubrogepant (Ubrelvy)","Requires: (1) Documentation of ≥2 triptan failures OR triptan contraindication, (2) Medical Necessity Letter citing AHS Consensus, (3) Headache diary. Expect initial denial; prepare appeal.",,ALL
DENY-AI-001,AI/Algorithmic Denial Challenge - Human Review Required,"Pursuant to [STATE STATUTE], denials based solely on artificial intelligence or algorithmic determinations without human clinical review are prohibited. This denial appears to be an automated 'predictive denial' generated without meaningful physician oversight. We demand peer-to-peer review by a licensed physician as required by state law.",State Anti-AI Denial Statutes,NE LB 77 | AL Insurance Dept Policy,Denial appears algorithmic/automated without physician review,Anti-AI Denial / Human Review Requirement,All medications,"Look for signs of automated denial: generic language, no clinical rationale, immediate turnaround, boilerplate text. Challenge if denial lacks individualized medical review.","NE: 'Pursuant to Nebraska LB 77, denials based solely on artificial intelligence or algorithmic determinations are prohibited. This denial appears to be an automated predictive denial without human clinical review. We demand peer-to-peer review by a licensed physician per statute.' | AL: 'Per Alabama Insurance Department guidance, AI-only denials without physician oversight are not valid adverse determinations.'","NE,AL"
DENY-FIRST-002,First-Line CGRP - State Payer Policy (No Step Required),"This payer has adopted a first-line CGRP policy eliminating oral preventive step therapy requirements for migraine prevention. Per [PAYER] policy update effective [DATE], CGRP-targeting therapies are approved as first-line for [episodic/chronic] migraine without requiring failure of non-specific oral preventives. This aligns with the 2024 AHS Position Statement recognizing CGRPs as first-line options.",Payer-Specific Policies,WV Highmark Oct 2025 | LA BCBSLA 2026 | ND BCBSND Jan 2026 (Chronic only),Requesting CGRP at payer that has adopted first-line policy,Payer-Specific First-Line CGRP Policy,"Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Atogepant (Qulipta)",Verify payer policy is current. Note: ND BCBSND first-line is for CHRONIC migraine only (≥15 days/month); episodic still requires step therapy.,"WV: 'Per Highmark BCBS WV policy effective October 2025, CGRP mAbs are approved first-line for migraine prevention without oral step therapy.' | LA: 'Per BCBSLA 2026 formulary update, CGRP therapies are first-line for migraine.' | ND: 'Per BCBSND January 2026 Policy Update, CGRP-targeting therapies are first-line for CHRONIC migraine without oral preventive step therapy.'","WV,LA,ND"
DENY-EPISODIC-001,Episodic Migraine Diagnosis Statement,"Patient has been diagnosed with episodic migraine per ICHD-3 criteria (Section 1.1/1.2): at least 5 attacks with headache lasting 4-72 hours; at least 2 of unilateral location, pulsating quality, moderate-severe intensity, or aggravation by physical activity; with nausea/vomiting or photophobia and phonophobia. Patient experiences [X] migraine days per month, which is below the chronic migraine threshold (≥15 days/month) but causes substantial functional impairment warranting preventive therapy.",ICHD-3 (2018) | AHS Consensus 2021,"ICHD-3 Section 1.1, 1.2 | Ailani J et al. Headache. 2021;61(7):1021-1039",PA request for episodic migraine patient (4-14 days/month); establishing diagnosis for CGRP mAb or gepant preventive therapy,Episodic Migraine Diagnosis Documentation,"Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Eptinezumab (Vyepti), Atogepant (Qulipta), Rimegepant (Nurtec ODT preventive)","Use instead of chronic migraine language when patient has 4-14 migraine days/month. Fill in [X] with actual monthly migraine days from headache diary. ICD-10: G43.009, G43.019, G43.109, G43.119. Do NOT use G43.7xx (chronic) codes.",,ALL
DENY-EPISODIC-002,High-Frequency Episodic Migraine - Preventive Indication,"Patient has high-frequency episodic migraine per ICHD-3, experiencing [8-14] migraine days per month. Per AHS 2024 Consensus Statement and ACP 2025 Guidelines, patients with ≥4 migraine days per month who experience functional impairment are candidates for preventive therapy. High-frequency episodic migraine (8-14 days/month) carries significant risk of progression to chronic migraine if undertreated. Early initiation of CGRP-targeting preventive therapy is medically necessary to reduce attack frequency, prevent chronification, and restore functional capacity.",AHS Position Statement 2024 | ACP Guidelines 2025 | ICHD-3,Charles AC et al. Headache. 2024;64(4):333-341 | ACP Ann Intern Med. 2025;178:369-380,PA request for high-frequency episodic patient (8-14 days/month) where payer may argue patient does not meet chronic threshold,High-Frequency Episodic Preventive Indication,"Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Atogepant (Qulipta)","Use when payer questions medical necessity for episodic patients approaching chronic threshold. Document: (1) Monthly migraine days from diary, (2) MIDAS ≥11 or HIT-6 ≥50, (3) Risk of chronification. Complements DENY-QL-001 for quantity limit scenarios.",,ALL
DENY-BOTOX-EPISODIC,Botox Denial - Episodic Migraine Not Covered (VALID DENIAL),"This denial is clinically appropriate. OnabotulinumtoxinA (Botox) is FDA-approved ONLY for chronic migraine, defined as headache occurring on ≥15 days per month for >3 months with migraine features on ≥8 days per month (ICHD-3 Section 1.3). Patient has episodic migraine ([X] days/month) and does not meet the FDA-approved indication. Appropriate alternatives for episodic migraine prevention include CGRP monoclonal antibodies (Aimovig, Ajovy, Emgality, Vyepti) and oral gepants (Qulipta, Nurtec ODT), all of which have FDA approval for both episodic and chronic migraine.",FDA Label | ICHD-3 | AHS Consensus 2021,FDA Botox Label Section 1.1 | ICHD-3 Section 1.3 | Ailani J et al. Headache. 2021,Provider education: Botox requested for episodic patient - denial is CORRECT,N/A - This validates denial and redirects to appropriate alternatives,"Botox NOT applicable; Redirect to: Erenumab (Aimovig), Fremanezumab (Ajovy), Galcanezumab (Emgality), Eptinezumab (Vyepti), Atogepant (Qulipta), Rimegepant (Nurtec ODT)","⚠️ THIS IS A VALID DENIAL ACKNOWLEDGMENT - Use to educate providers that Botox denial for episodic patients is correct per FDA label. System should PREVENT Botox selection for episodic patients before PA submission. ICD-10 codes G43.0xx, G43.1xx, G43.8xx = Botox ineligible.",,ALL
DENY-EPISODIC-003,Episodic Migraine - Acute Gepant After Triptan Failure,"Patient has episodic migraine with documented inadequate response to acute triptan therapy. Patient has trialed [triptan 1] and [triptan 2] with [inadequate pain relief within 2 hours / recurrence requiring re-dosing / intolerable adverse effects]. Per AHS 2018 Position Statement and ACP 2025 Guidelines, CGRP receptor antagonists (gepants) represent an appropriate next-line acute therapy for patients who have failed or cannot tolerate triptans. Unlike triptans, gepants do not cause vasoconstriction and do not carry the same medication overuse headache risk profile.",AHS Position Statement 2018 | ACP Guidelines 2025,American Headache Society. Headache. 2019;59(1):1-18 | ACP Ann Intern Med. 2025;178:369-380,PA request for acute gepant (Ubrelvy/Nurtec/Zavzpret) for episodic patient after triptan failures,Acute Gepant Access After Triptan Step Therapy Completion,"Ubrogepant (Ubrelvy), Rimegepant (Nurtec ODT acute), Zavegepant (Zavzpret)","Document specific triptans failed and reason for failure. This phrase is for ACUTE gepant use (PRN dosing), not preventive. Complements DENY-STEP-001 which focuses on CV bypass for patients who cannot try triptans. ICD-10: G43.009, G43.019, G43.109, G43.119.",,ALL
