State,Payer_Name,Payer_Type,LOB,Drug_Class,Medication_Category,Step_Therapy_Required,Step_1_Requirement,Step_1_Duration,Step_2_Requirement,Step_2_Duration,Quantity_Limit,Contraindication_Bypass,Gold_Card_Available,Gold_Card_Threshold,Policy_ID,Source_Document,Vault_Payer_ID,National_Payer_ID,Vault_Denial_Code,Episodic_Same_As_Chronic,High_Freq_Episodic_Threshold,Episodic_Notes
PA,UPMC For You,Medicaid MCO,Medicaid Pharmacy,CGRP mAbs,Preventive,Yes,≥2 distinct oral preventive classes per PA DHS PDL (beta-blockers: propranolol/metoprolol; anticonvulsants: topiramate/valproic acid; TCAs: amitriptyline/nortriptyline) at therapeutic doses,≥8 weeks each unless discontinued early for documented adverse effects; failure = <50% reduction OR intolerable adverse effects,N/A,N/A,PA DHS PDL governs; most stringent in state,Yes - documented contraindications per PA DHS PDL bypass criteria,Act 146 (Medicaid),N/A,PA DHS Statewide PDL,Pennsylvania_2026_PA_Audit,PA-MCD-UPMCHEALTH,93692,DENY-STEP-002,TRUE,,
PA,UPMC For You,Medicaid MCO,Medical Benefit,Botox,Chronic Migraine,Yes,≥2 oral preventives per UPMC For You medical policy (NOT commercial UPMC Health Plan policy),≥8 weeks each,N/A,N/A,Chronic Migraine per ICHD-3 (≥15 HA days/mo for ≥3 consecutive months; ≥8 days with migraine features); must document via headache diary or clinical note for 3-month period preceding PA,Yes - oral preventive contraindications,Act 146 (Medicaid),N/A,UPMC For You Medical Policy,Pennsylvania_2026_PA_Audit,PA-MCD-UPMCHEALTH,93692,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
PA,AmeriHealth Caritas Pennsylvania,Medicaid MCO,Medicaid Pharmacy,CGRP mAbs,Preventive,Yes,≥2 oral preventive classes per PA DHS PDL,≥8 weeks each,N/A,N/A,PA DHS PDL governs; dedicated Migraine Prevention Agents PA form available,Yes - documented contraindications,Act 146 (Medicaid),N/A,AmeriHealth Migraine Prevention Form,Pennsylvania_2026_PA_Audit,PA-MCD-AMERIHEALTH,AMH,DENY-STEP-002,TRUE,,
PA,Novitas Solutions,Medicare MAC,Part B,Botox,Chronic Migraine,Yes,Failed 'conventional methods' of treatment (best practice: ≥2 oral preventive classes documented),Documented in medical record,N/A,N/A,LCD L38809/DL39909; Chronic Migraine (≥15 HA days/mo for >3 months; ≥8 migraine days); Episodic NOT covered; injection sites + dosages must be documented; JW modifier for waste MANDATORY; Original Medicare = post-service prepayment audits (no pre-service PA); MA plans DO require pre-service PA,Yes - documented conventional therapy failures,No - Federal Medicare,N/A,LCD L38809/DL39909,Pennsylvania_2026_PA_Audit,PA-MAC-NOVITAS,NOVITAS,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
DE,Highmark BCBS DE,Commercial,Commercial,Gepants,Acute,Yes,≥2 triptans,Trial required,N/A,N/A,"Ubrelvy 16/30d, Nurtec 8/30d",Yes - CV contraindication,Yes (Voluntary),90% approval rate,I-11-042,Delaware_2026_PA_Audit,DE-COM-HIGHBCBS,65093,DENY-STEP-001,TRUE,,
DE,Highmark BCBS DE,Commercial,Commercial,CGRP mAbs,Preventive,Yes,1 agent from 2 different classes (beta-blocker; antidepressant; anti-epileptic; ARB),≥8 weeks each,N/A,N/A,Monthly supply,Yes - teratogenic; CV per 18 Del. C. § 3381,Yes (Voluntary),90% approval rate,I-200-005,Delaware_2026_PA_Audit,DE-COM-HIGHBCBS,65093,DENY-STEP-002,TRUE,,
DE,Highmark BCBS DE,Commercial,Commercial,Botox,Chronic Migraine,Yes,≥2 prophylactic classes,≥6 weeks each,N/A,N/A,155 units/12 weeks,Yes,Yes (Voluntary),90% approval rate,I-11-042,Delaware_2026_PA_Audit,DE-COM-HIGHBCBS,65093,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
DE,Highmark BCBS DE,Commercial,Commercial,Vyepti,Preventive IV,Yes,Must justify why SubQ CGRP not appropriate,N/A,Fail SubQ CGRP or document barrier,N/A,Quarterly infusion,Yes - needle phobia; inability to self-inject,Yes (Voluntary),90% approval rate,I-222-007,Delaware_2026_PA_Audit,DE-COM-HIGHBCBS,65093,DENY-GOLD-001,TRUE,,
DE,AmeriHealth Caritas Delaware,Medicaid MCO,Medicaid,CGRP mAbs,Preventive,Yes,≥2 PDL agents (may be same class unlike Highmark); pharmacy fill history required,Documented + adherence proof,N/A,N/A,DMAP PDL; Emgality/Ajovy often preferred; Brand over Generic = DAW 1; SDOH leverage viable,Yes - teratogenic; cognitive; respiratory,N/A,N/A,DMAP PDL,Delaware_2026_PA_Audit,DE-MCD-AMERIHEALTH,AmeriHealth,DENY-STEP-002,TRUE,,
DE,Delaware First Health,Medicaid MCO,Medicaid,Gepants,Acute,Yes,≥2 triptans,Trial required,N/A,N/A,PDL limits,Yes per 18 Del. C. § 3381,No,N/A,DE Medicaid PDL,Delaware_2026_PA_Audit,DE-MCD-DELFIRST,65093,DENY-STEP-001,TRUE,,
DE,Cigna,Commercial,Commercial,Gepants,Acute,Yes,≥1 triptan,Trial required,N/A,N/A,Plan dependent,Yes - CV contraindication,Yes (National Gold Card),Voluntary program,Cigna Medical Policy,Delaware_2026_PA_Audit,DE-COM-CIGNA,62308,DENY-STEP-001,TRUE,,
DE,Cigna,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2 oral preventive classes,Trial required,N/A,N/A,Monthly supply,Yes,Yes (National Gold Card),Voluntary program,Cigna Medical Policy,Delaware_2026_PA_Audit,DE-COM-CIGNA,62308,DENY-STEP-002,FALSE,8,Cigna: Standard episodic (4-7d) = triptan failure only for acute; High-freq episodic (≥8d) = 1 oral class for CGRP; Chronic (≥15d) = 2 oral classes. MIDAS ≥11 required for all preventives.
DE,Novitas Solutions,Medicare MAC,Part B,Botox,Chronic Migraine,Yes,≥2 classes; headache diary required,Trial required,N/A,N/A,155 units/12 weeks,Yes,N/A,N/A,LCD L38809,Delaware_2026_PA_Audit,DE-MAC-NOVITAS,MAC-JL,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
AL,UnitedHealthcare,Commercial,Commercial,Gepants,Acute,Yes,≥2 triptans,≥30 days per agent,N/A,N/A,"Nurtec 8/30d, Ubrelvy 16/30d",Yes - CV contraindication,Yes (National Gold Card),≥92% approval x 2 years,UHC CGRP Policy,Alabama_2026_PA_Audit,AL-COM-UHC,87726,DENY-STEP-001,TRUE,,
AL,UnitedHealthcare,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2 oral preventives (beta-blocker; topiramate; divalproex; amitriptyline/venlafaxine),≥2 months each,Fail Aimovig OR Emgality for non-preferred (Ajovy),N/A,Monthly supply,Yes - teratogenic; CV,Yes (National Gold Card),≥92% approval x 2 years,UHC CGRP Policy,Alabama_2026_PA_Audit,AL-COM-UHC,87726,DENY-STEP-002,TRUE,,
AL,UnitedHealthcare,Commercial,Commercial,Botox,Chronic Migraine,Yes,Check Gold Card status first - Advance Notification only if Gold Carded,N/A,N/A,N/A,155 units/12 weeks,Yes,Yes (National Gold Card),≥92% approval x 2 years,UHC Medical Policy,Alabama_2026_PA_Audit,AL-COM-UHC,87726,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
AL,Blue Cross Blue Shield Alabama,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2 different oral preventive classes,≥8 weeks each,N/A,N/A,⚠️ 87% market share = BCBSAL denial = statewide denial; Source+Rx formulary; Prime Therapeutics; ⚠️ 'Consensus Agreement' = No AI Denial + quasi-Gold Card,Yes - teratogenic; cognitive; respiratory,✓ Voluntary Consensus Agreement,90%,Source+Rx Formulary,Alabama_2026_PA_Audit,AL-COM-BCBSAL,BCBSAL,DENY-STEP-002,TRUE,,
AL,Palmetto GBA,Medicare MAC,Part B,Botox,Chronic Migraine,Yes,≥2 conventional preventives; ICD-10 G43.7xx ONLY,Adequate trial,N/A,N/A,155 units/12 weeks; JW modifier required for waste,Yes,N/A,N/A,LCD DL39909 (eff. 2/15/2026),Alabama_2026_PA_Audit,AL-MAC-PALMETTO,MAC-JJ,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
MI,Blue Cross Blue Shield MI,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2 oral preventive classes,≥8 weeks each,N/A,N/A,Monthly supply,Yes - teratogenic; CV,No,N/A,BCBSMI Medical Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-MICHBCBS,710,DENY-STEP-002,TRUE,,
MI,Priority Health,Commercial,Commercial,Gepants,Acute,Yes,≥2 triptans,Trial required,N/A,N/A,Plan dependent,Yes - CV contraindication,Yes (Priority Gold Card),High approval rate,Priority Health Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-PRIORITY,38259,DENY-STEP-001,TRUE,,
MI,Priority Health,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2 oral preventives,Trial required,N/A,N/A,Monthly supply,Yes; honors continuity of care,Yes (Priority Gold Card),High approval rate,Priority Health Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-PRIORITY,38259,DENY-STEP-002,TRUE,,
MI,Priority Health,Commercial,Commercial,Botox,Chronic Migraine,Yes,≥2 oral preventives; no concurrent CGRP unless refractory appeal,Trial required,N/A,N/A,155 units/12 weeks,Yes,Yes (Priority Gold Card),High approval rate,Priority Health Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-PRIORITY,38259,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
MI,UnitedHealthcare,Commercial,Commercial,Gepants,Acute,Yes,1-2 triptans (plan dependent),≥30 days,N/A,N/A,"Nurtec 8/30d, Ubrelvy 16/30d",Yes - CV contraindication,Yes (National Gold Card),≥92% approval x 2 years,UHC CGRP Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-UHC,87726,DENY-STEP-001,TRUE,,
MI,UnitedHealthcare,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2 oral preventive classes; Aimovig/Emgality preferred,≥6 weeks each,Ajovy requires fail of Aimovig OR Emgality,N/A,Monthly supply,Yes,Yes (National Gold Card),≥92% approval x 2 years,UHC CGRP Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-UHC,87726,DENY-STEP-002,TRUE,,
MI,UnitedHealthcare,Commercial,Commercial,Botox,Chronic Migraine,Yes,≥2 oral preventives; strict 15 day documentation,Trial required,N/A,N/A,155 units/12 weeks,Yes,Yes (National Gold Card - CPT 64615),≥92% approval x 2 years,UHC Medical Policy,Michigan_2026_PA_Audit_Strategy,MI-COM-UHC,87726,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
ME,Anthem BCBS Maine,Commercial,Commercial,Gepants,Acute,Yes,≥2 triptans,Trial required,N/A,N/A,Plan dependent,Yes - CV contraindication,No state mandate,N/A,Anthem CarelonRx,Maine_2026_PA_Audit_Report,ME-COM-ELEV,47198,DENY-STEP-001,TRUE,,
ME,Anthem BCBS Maine,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2-3 oral preventive classes (beta-blocker; TCA; anticonvulsant),Trial required,N/A,N/A,Monthly supply,Yes - teratogenic; CV; asthma,No state mandate,N/A,Anthem CarelonRx,Maine_2026_PA_Audit_Report,ME-COM-ELEV,47198,DENY-STEP-002,FALSE,8,Anthem: Episodic (<8d) = 1 oral class; Episodic (≥8d) = same as chronic (1 oral class). More lenient than most payers for episodic.
ME,MaineCare,Medicaid FFS,Medicaid,Gepants,Acute,Yes,≥1 triptan (PDL requirement),Trial required,N/A,N/A,PDL limits,Yes - CV contraindication,N/A,N/A,MaineCare PDL,Maine_2026_PA_Audit_Report,ME-MCD-MAINECARE,STATE-ME,DENY-STEP-001,TRUE,,
ME,MaineCare,Medicaid FFS,Medicaid,CGRP mAbs,Preventive,Yes,Per PDL requirements,Trial required,N/A,N/A,PDL limits,Yes per 24-A MRSA §4304-B,N/A,N/A,MaineCare PDL,Maine_2026_PA_Audit_Report,ME-MCD-MAINECARE,STATE-ME,DENY-STEP-002,TRUE,,
ME,Community Health Options,Commercial,Exchange,Gepants,Acute,Yes,≥2 triptans (Express Scripts),Trial required,N/A,N/A,Plan dependent,Yes - CV contraindication; CISP bypass available,No,N/A,CHO/ESI Formulary,Maine_2026_PA_Audit_Report,ME-COM-COMMHEALTH,MHMC1,DENY-STEP-001,TRUE,,
ME,Harvard Pilgrim,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2 oral preventive classes,Trial required,Ajovy EXCLUDED 2026,N/A,Monthly supply,Yes,No,N/A,Point32Health Policy,Maine_2026_PA_Audit_Report,ME-COM-HARVARD,4271,DENY-STEP-002,TRUE,,
ME,National Government Services,Medicare MAC,Part B,Botox,Chronic Migraine,Yes,≥2 conventional preventives; headache diary,Adequate trial,N/A,N/A,155 units/12 weeks; JZ modifier required,Yes,N/A,N/A,LCD L33646,Maine_2026_PA_Audit_Report,ME-MAC-NGS,MAC-JK,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
NH,Anthem BCBS NH,Commercial,Commercial,Gepants,Acute,Yes,≥2 preferred triptans,Trial required,N/A,N/A,"Nurtec Tier 3, Ubrelvy Tier 3",Yes - CV contraindication,No state mandate,N/A,CarelonRx Policy,New_Hampshire_2026_PA_Audit,NH-COM-ELEV,47198,DENY-STEP-001,TRUE,,
NH,Anthem BCBS NH,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2 oral preventive classes,≥8 weeks each,N/A,N/A,Monthly supply,Yes - teratogenic; CV; asthma,No state mandate,N/A,CarelonRx Policy,New_Hampshire_2026_PA_Audit,NH-COM-ELEV,47198,DENY-STEP-002,FALSE,8,Anthem: Episodic (<8d) = 1 oral class; Episodic (≥8d) = same as chronic (1 oral class). More lenient than most payers for episodic.
NH,Anthem BCBS NH,Commercial,Commercial,Botox,Chronic Migraine,Yes,≥2 oral preventive classes,≥8 weeks each,N/A,N/A,155 units/12 weeks,Yes,No state mandate,N/A,Carelon Medical,New_Hampshire_2026_PA_Audit,NH-COM-ELEV,47198,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
NH,Harvard Pilgrim,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥2 oral preventive classes,Trial required,Ajovy EXCLUDED 2026,N/A,Monthly supply,Yes,No,N/A,Point32Health Policy,New_Hampshire_2026_PA_Audit,NH-COM-HARVARD,4271,DENY-STEP-002,TRUE,,
NH,NH Healthy Families,Medicaid MCO,Medicaid,Gepants,Acute,Yes,≥2 triptans (Centene PDL),Trial required,N/A,N/A,PDL limits,Yes - CV contraindication,No,N/A,NH.PHAR.476,New_Hampshire_2026_PA_Audit,NH-MCD-GRANITE,68069,DENY-STEP-001,TRUE,,
NH,NH Healthy Families,Medicaid MCO,Medicaid,CGRP mAbs,Preventive,Yes,≥2 oral preventive classes (strict PDL),Trial required,N/A,N/A,PDL limits,Yes,No,N/A,Centene Policy,New_Hampshire_2026_PA_Audit,NH-MCD-GRANITE,68069,DENY-STEP-002,TRUE,,
NH,National Government Services,Medicare MAC,Part B,Botox,Chronic Migraine,Yes,≥2 conventional preventives,Adequate trial,N/A,N/A,155 units/12 weeks,Yes,N/A,N/A,LCD L33646,New_Hampshire_2026_PA_Audit,NH-MAC-NGS,MAC-JK,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
NY,NYRx (New York State Medicaid),Medicaid FFS,Medicaid Pharmacy,Gepants,Acute,Yes,≥1 triptan trial (failure/intolerance/contraindication),Per clinical judgment,N/A,N/A,Nurtec ODT 18-24 doses/30-40d acute; 8 tabs/30d some contexts; Ubrelvy standard QL,Yes - CV contraindication to vasoconstrictive agents (CAD; uncontrolled HTN; PVD) bypasses triptan requirement immediately,N/A - State Medicaid,N/A,NYRx PDL Clinical Criteria,New_York_2026_PA_Audit,NY-MCD-NYRX,NYRX,DENY-STEP-001,TRUE,,
NY,NYRx (New York State Medicaid),Medicaid FFS,Medicaid Pharmacy,CGRP mAbs,Preventive,Yes,≥2 oral preventive classes (Beta-blockers; Anticonvulsants; Antidepressants) - CAPPED at 2 per NY Chapter 20 Laws 2025,≤30 days or per evidence-based guidelines (NY law),N/A,N/A,Emgality 120mg PREFERRED; Nurtec ODT PREFERRED for episodic prevention (EOD dosing); Aimovig/Ajovy/Qulipta NON-PREFERRED require step through preferred,Yes - contraindication/harm; clinical ineffectiveness; stability/continuity of care; best interest (NY Ins Law §4903 override criteria),N/A - State Medicaid,N/A,NYRx PDL / NY Ins Law §4902,New_York_2026_PA_Audit,NY-MCD-NYRX,NYRX,DENY-STEP-002,TRUE,,
NY,Fidelis Care (Centene),Medicaid MCO,Medical Benefit,Botox,Chronic Migraine,Yes,≥2 oral preventive classes (Topiramate; Propranolol; Amitriptyline) - CAPPED at 2 per NY Chapter 20,≥2 months each (but ≤30 days if adverse event per NY law),N/A,N/A,155-200 units/12 weeks; Chronic Migraine (≥15 HA days/mo; ≥8 migraine days; ≥4 hours duration) for ≥3 months; reauth requires ≥7 day reduction or functional improvement,Yes - cognitive slowing (topiramate); hypotension (beta-blockers); adverse event discontinuation valid regardless of duration per NY Ins Law §4902,N/A - Medicaid MCO,N/A,Centene CP.MP.162/CP.FC.05,New_York_2026_PA_Audit,NY-MCD-FIDELIS,13551,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
NY,Fidelis Care (Centene),Medicaid MCO,Medical Benefit,Vyepti,Chronic Migraine,Yes,≥2 oral preventive classes,≥2 months each,≥1-2 SC CGRPs (Aimovig/Emgality) OR Botox,Documented failure/intolerance,J3032; Non-Preferred; Site of Care restriction - non-hospital settings preferred unless medical necessity (severe infusion reaction history; difficult venous access),Yes - inability to self-inject; GI malabsorption (bioavailability argument); SC injection failures,N/A - Medicaid MCO,N/A,Centene CP.FC.05 Vyepti,New_York_2026_PA_Audit,NY-MCD-FIDELIS,13551,DENY-QL-001,TRUE,,
NY,Empire BlueCross BlueShield,Commercial,Commercial,Gepants,Acute,Yes,≥2 different triptans (sumatriptan; rizatriptan; etc.),≥4 weeks each,N/A,N/A,Qulipta/Nurtec Tier 2 (oral-forward formulary); Ubrelvy Tier 3/4; standard QL enforcement,Yes - CV risk factors (CAD; PVD; uncontrolled HTN) = triptan contraindicated = immediate bypass per NY Ins Law §4903,Pending (S7470),N/A - pending legislation,Empire Select Drug List 2026,New_York_2026_PA_Audit,NY-COM-EMPIREBCBS,13551,DENY-STEP-001,TRUE,,
NY,Empire BlueCross BlueShield,Commercial,Commercial,CGRP mAbs,Preventive,Yes,≥1-2 oral preventive classes (Beta-blockers; Anticonvulsants) - plan rider dependent; CAPPED at 2 per NY law,≤30 days or per guidelines,N/A,N/A,Qulipta/Nurtec/Emgality/Aimovig Tier 2 PREFERRED; Ajovy Tier 3/4 Non-Preferred; Empire is 'oral-forward' - favorable for patients preferring oral over injection,Yes - asthma/bradycardia (beta-blocker contraindication); cognitive impairment (topiramate); teratogenic bypass,Pending (S7470),N/A - pending legislation,Empire CGRP Policy,New_York_2026_PA_Audit,NY-COM-EMPIREBCBS,13551,DENY-STEP-002,TRUE,,
NY,Empire BCBS,Medicare Advantage,Part B,Botox,Chronic Migraine,Yes,Per NGS LCD L33646,Adequate trial,N/A,N/A,155 units/12 weeks,Yes,N/A,N/A,LCD L33646,New_York_2026_PA_Audit,NY-MA-EMPIREBCBS,47198,DENY-STEP-002,FALSE,,⛔ BOTOX = CHRONIC MIGRAINE ONLY per FDA. Episodic (4-14 days/month) = automatic denial. ICD-10 must be G43.7xx series.
NY,UnitedHealthcare (Oxford),Commercial,Commercial,Gepants,Acute,Yes,≥2 triptans (failure/contraindication/intolerance),≥4 weeks each,N/A,N/A,Nurtec ODT 8 tabs/30d acute (15-16 tabs if approved for prevention); Ubrelvy 10-16 tabs/30d; aggressive QL enforcement; MOH monitoring,Yes - CV contraindication; reauth requires NO medication overuse headache + clinical improvement documented,Yes (Voluntary),92% approval rate on specific codes - check UHC Provider Portal for eligibility,UHC PA-Notification-Nurtec-Qulipta-Ubrelvy-Zavzpret,New_York_2026_PA_Audit,NY-COM-UHC,87726,DENY-STEP-001,TRUE,,
